,Unnamed: 0.1,Unnamed: 0,Unnamed,Unnamed: 2,0,Unnamed.37,Unnamed.38,Unnamed: 6,2,0.4,Unnamed.19,Unnamed.20,Unnamed.39,Unnamed: 12,6,2.3,0.3,Unnamed.2,Unnamed.21,Unnamed.40,Unnamed: 19,11,5,1,Unnamed.3,Unnamed.22,Unnamed.41,Unnamed: 26,16,8,2.2,Unnamed.4,Unnamed.23,Unnamed.42,Unnamed: 33,21,11.3,3,Unnamed.5,Unnamed.24,Unnamed.43,Unnamed: 40,26,14,4,Unnamed.6,Unnamed.25,Unnamed.44,Unnamed: 47,31,17,5.2,Unnamed.7,Unnamed.26,Unnamed.45,Unnamed: 54,36,20,6.2,Unnamed.8,Unnamed.27,Unnamed.46,Unnamed: 61,41,23,7,Unnamed.9,Unnamed.28,Unnamed.47,Unnamed: 68,46,26.2,8.2,Unnamed.10,Unnamed.29,Unnamed.48,Unnamed: 75,51,29,9,Unnamed.11,Unnamed.30,Unnamed.49,Unnamed: 82,56,32,10,Unnamed.12,Unnamed.31,Unnamed.50,Unnamed: 89,61,35,11.2,Unnamed.13,Unnamed.32,Unnamed.51,Unnamed: 96,66,38,12,Unnamed.14,Unnamed.33,Unnamed.52,Unnamed: 103,71,41.1,13,Unnamed.15,Unnamed.34,Unnamed.53,Unnamed: 110,76,44,14.2,Unnamed.16,Unnamed.35,Unnamed.54,Unnamed: 117,81,47,15,Unnamed.17,Unnamed.1,Unnamed.18,Unnamed.36,Unnamed.55,Unnamed: 126,88,52,18,1.2,0.2,0.1,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,13.1,14.1,15.1,16.1,17.1,18.1,19,20.1,21.1,22,23.1,24,25,26.1
10,10,10,10,10,12,12,F,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,11,11,13,13,G,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,12,12,12,14,14,H,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,13,13,13,15,15,I,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,14,14,16,16,J,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,15,15,17,17,K,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,16,16,16,18,18,L,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,17,17,17,19,19,M,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,18,18,18,20,20,N,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,19,19,19,21,21,O,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,20,20,20,20,22,22,P,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,0.54733317777,0.54733317777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,21,21,21,23,23,Plate,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,22,22,22,24,24,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,23,23,23,23,25,25,1,1,"""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""=""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""H2061394""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""""",14.01,17.7,17.82,45.9,46.2,18.1,18.02,1,Jez,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,3/22/2023,3,38,03,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,24,24,24,24,26,26,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,25,25,25,27,27,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,26,26,26,26,28,28,1,Jez,US,LUM,384,(cps),0,16,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,27,27,27,29,29,Results,for,Jez,US,LUM,384,(cps)(1),-,channel,0,(CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,28,28,28,28,30,30,,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,29,29,29,29,31,31,A,-0.3556946392548384,-0.34907962852867325,-0.37553967143333383,-0.382154682159499,-0.38876969288566415,-0.3623096499810035,-0.38876969288566415,-0.3689246607071687,-0.4218447465164899,-0.3093895641716824,-0.3226195856240127,-0.34246461780250814,-0.31600457489784756,-0.3556946392548384,-0.3292345963501778,-0.3689246607071687,-0.4218447465164899,-0.39538470361182926,-0.3556946392548384,-0.3623096499810035,-0.31600457489784756,-0.34907962852867325,2.700440316233459,2.713670337685789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,30,30,30,32,32,B,-0.34907962852867325,-0.3292345963501778,-0.39538470361182926,-0.3292345963501778,-0.3623096499810035,-0.30277455344551724,-0.31600457489784756,-0.3226195856240127,-0.2961595427193521,-0.3623096499810035,-0.2696994998146915,-0.34907962852867325,-0.3623096499810035,-0.2961595427193521,-0.31600457489784756,-0.30277455344551724,-0.34907962852867325,-0.3623096499810035,-0.34907962852867325,-0.4019997143379944,-0.3689246607071687,-0.34246461780250814,3.057650895446377,2.5482950695316604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,31,31,31,33,33,C,-0.26308448908852644,-0.335849607076343,-0.335849607076343,-0.382154682159499,-0.28954453199318697,-0.335849607076343,-0.26308448908852644,-0.3623096499810035,-0.38876969288566415,-0.31600457489784756,-0.24323945691003096,-0.3226195856240127,-0.2961595427193521,-0.4218447465164899,-0.3556946392548384,-0.2961595427193521,-0.37553967143333383,-0.37553967143333383,-0.4019997143379944,-0.30277455344551724,-0.24323945691003096,-0.39538470361182926,2.8988906380184134,2.614445176793312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,32,32,32,34,34,D,-0.3623096499810035,-0.382154682159499,-0.34907962852867325,-0.3093895641716824,-0.3093895641716824,-0.28954453199318697,-0.3556946392548384,-0.3226195856240127,-0.43507476796882016,-0.23000943545770067,-0.1704743389222143,-0.3093895641716824,-0.382154682159499,-0.2829295212670218,-0.3556946392548384,-0.2696994998146915,-0.3226195856240127,-0.23662444618386583,-0.34907962852867325,-0.335849607076343,-0.3226195856240127,-0.31600457489784756,3.1568760563388536,2.7401303805904496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,33,33,33,35,35,E,-0.2961595427193521,-0.2233944247315355,-0.28954453199318697,-0.26308448908852644,-0.3623096499810035,-0.20354939255304005,-0.28954453199318697,-0.21016440327920521,-0.5938350253967837,-0.26308448908852644,-0.2564694783623613,-0.2961595427193521,-0.1837043603745446,-0.2829295212670218,-0.19693438182687492,-0.19031937110070976,-0.27631451054085665,-0.23662444618386583,-0.2961595427193521,-0.2233944247315355,-0.23662444618386583,-0.30277455344551724,3.5008566140994413,2.806280487852101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,34,34,34,34,36,36,F,-0.24323945691003096,-0.2961595427193521,-0.19031937110070976,-0.2961595427193521,-0.24323945691003096,-0.19031937110070976,-0.26308448908852644,-0.21016440327920521,-0.27631451054085665,-0.2233944247315355,-0.27631451054085665,-0.24323945691003096,-0.23000943545770067,-0.2829295212670218,-0.20354939255304005,-0.6269100790276094,-0.23000943545770067,-0.28954453199318697,-0.2829295212670218,-0.23662444618386583,-0.19693438182687492,-0.27631451054085665,3.65300186080124,2.9055056487445783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,35,35,35,35,37,37,G,-0.2564694783623613,-0.34907962852867325,-0.2961595427193521,-0.382154682159499,-0.24985446763619612,-0.2961595427193521,-0.24323945691003096,-0.24323945691003096,-0.24985446763619612,-0.2564694783623613,-0.23662444618386583,-0.30277455344551724,-0.2564694783623613,-0.335849607076343,-0.30277455344551724,-0.26308448908852644,-0.34246461780250814,-0.2233944247315355,-0.34907962852867325,-0.3226195856240127,-0.2696994998146915,-0.3093895641716824,3.4611665497424506,2.6938253055072936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,36,36,36,38,38,H,-0.27631451054085665,-0.2961595427193521,-0.31600457489784756,-0.3292345963501778,-0.31600457489784756,-0.27631451054085665,-0.24985446763619612,-0.30277455344551724,-0.16385932819604923,-0.31600457489784756,-0.27631451054085665,-0.27631451054085665,-0.2233944247315355,-0.2961595427193521,-0.3093895641716824,-0.3556946392548384,-0.28954453199318697,-0.2961595427193521,-0.3623096499810035,-0.26308448908852644,-0.2961595427193521,-0.3093895641716824,3.514086635551772,2.9848857774585604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,37,37,37,39,39,I,-0.3556946392548384,-0.28954453199318697,-0.335849607076343,0.08751107939822642,-0.2696994998146915,-0.26308448908852644,-0.34246461780250814,-0.3689246607071687,-0.335849607076343,-0.31600457489784756,-0.27631451054085665,-0.31600457489784756,-0.28954453199318697,-0.2696994998146915,-0.34907962852867325,-0.382154682159499,-0.34907962852867325,-0.37553967143333383,-0.3292345963501778,-0.3623096499810035,-0.3689246607071687,-0.3226195856240127,3.4677815604686155,2.925350680923074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,38,38,38,40,40,J,-0.4218447465164899,-0.42845975724265506,-0.3093895641716824,-0.2961595427193521,-0.31600457489784756,-0.24985446763619612,-0.2961595427193521,-0.3623096499810035,-0.2564694783623613,-0.2564694783623613,-0.31600457489784756,-0.335849607076343,-0.3623096499810035,-0.335849607076343,-0.3292345963501778,-0.26308448908852644,-0.3226195856240127,-0.30277455344551724,-0.37553967143333383,-0.3556946392548384,-0.2961595427193521,-0.3226195856240127,3.7985320967768734,2.925350680923074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,39,39,39,41,41,K,-0.3093895641716824,-0.30277455344551724,-0.23662444618386583,-0.27631451054085665,-0.30277455344551724,-0.2564694783623613,-0.27631451054085665,-0.26308448908852644,-0.24323945691003096,-0.27631451054085665,-0.2564694783623613,-0.23000943545770067,-0.26308448908852644,-0.34907962852867325,-0.24985446763619612,-0.3226195856240127,-0.31600457489784756,-0.2564694783623613,-0.3093895641716824,-0.2696994998146915,-0.34246461780250814,-0.30277455344551724,3.8117621182292036,2.931965691649239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,40,40,40,42,42,L,-0.24323945691003096,-0.30277455344551724,-0.3093895641716824,-0.335849607076343,-0.2829295212670218,-0.24323945691003096,-0.24323945691003096,-0.3226195856240127,-0.382154682159499,-0.2961595427193521,-0.3093895641716824,-0.24985446763619612,-0.26308448908852644,-0.31600457489784756,-0.24323945691003096,-0.2696994998146915,-0.23662444618386583,-0.3556946392548384,0.25950135827852017,-0.27631451054085665,-0.34246461780250814,-0.3556946392548384,3.4545515390162853,3.051035884720212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,41,41,41,43,43,M,-0.30277455344551724,-0.335849607076343,-0.2564694783623613,-0.21677941400537037,-0.26308448908852644,-0.27631451054085665,-0.3556946392548384,-0.28954453199318697,-0.2829295212670218,-0.24323945691003096,-0.2233944247315355,-0.3226195856240127,-0.20354939255304005,-0.2961595427193521,-0.3226195856240127,-0.3093895641716824,-0.3226195856240127,-0.2696994998146915,-0.382154682159499,-0.28954453199318697,-0.27631451054085665,-0.28954453199318697,3.613311796444249,3.2362561850528353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,42,42,42,44,44,N,-0.2564694783623613,-0.31600457489784756,-0.3093895641716824,-0.23000943545770067,-0.21677941400537037,-0.27631451054085665,-0.23662444618386583,-0.24323945691003096,-0.24985446763619612,-0.23000943545770067,-0.335849607076343,-0.2829295212670218,-0.26308448908852644,-0.2829295212670218,-0.27631451054085665,-0.17708934964837947,-0.2829295212670218,-0.3292345963501778,-0.34907962852867325,-0.23662444618386583,-0.24323945691003096,-0.3093895641716824,4.1160526116328,3.520701646277937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,43,43,43,43,45,45,O,-0.3556946392548384,-0.34246461780250814,-0.3226195856240127,-0.3226195856240127,-0.20354939255304005,-0.1837043603745446,-0.3292345963501778,-0.20354939255304005,-0.2961595427193521,-0.20354939255304005,-0.3093895641716824,-0.26308448908852644,-0.30277455344551724,-0.21677941400537037,-0.23000943545770067,-0.21677941400537037,-0.27631451054085665,-0.28954453199318697,-0.28954453199318697,-0.21016440327920521,-0.24985446763619612,-0.3292345963501778,4.307887922691589,3.4347065068377898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
