,Unnamed: 0,Unnamed,Unnamed: 2,0,Unnamed.69,Unnamed.70,Unnamed: 6,2,0.2,Unnamed.34,Unnamed.35,Unnamed.71,Unnamed: 12,6,2.2,0.1,Unnamed.1,Unnamed.36,Unnamed.72,Unnamed: 19,11,5,1,Unnamed.2,Unnamed.37,Unnamed.73,Unnamed: 26,16,8,2.1,Unnamed.3,Unnamed.38,Unnamed.74,Unnamed: 33,21,11.2,3,Unnamed.4,Unnamed.39,Unnamed.75,Unnamed: 40,26,14,4,Unnamed.5,Unnamed.40,Unnamed.76,Unnamed: 47,31,17,5.1,Unnamed.6,Unnamed.41,Unnamed.77,Unnamed: 54,36,20,6.1,Unnamed.7,Unnamed.42,Unnamed.78,Unnamed: 61,41,23,7,Unnamed.8,Unnamed.43,Unnamed.79,Unnamed: 68,46,26.2,8.1,Unnamed.9,Unnamed.44,Unnamed.80,Unnamed: 75,51,29,9,Unnamed.10,Unnamed.45,Unnamed.81,Unnamed: 82,56,32,10,Unnamed.11,Unnamed.46,Unnamed.82,Unnamed: 89,61,35,11.1,Unnamed.12,Unnamed.47,Unnamed.83,Unnamed: 96,66,38,12,Unnamed.13,Unnamed.48,Unnamed.84,Unnamed: 103,71,41.1,13,Unnamed.14,Unnamed.49,Unnamed.85,Unnamed: 110,76,44,14.1,Unnamed.15,Unnamed.50,Unnamed.86,Unnamed: 117,81,47,15,Unnamed.16,Unnamed.51,Unnamed.87,Unnamed: 124,86,50,16.1,Unnamed.17,Unnamed.52,Unnamed.88,Unnamed: 131,91,53,17.1,Unnamed.18,Unnamed.53,Unnamed.89,Unnamed: 138,96,56.1,18,Unnamed.19,Unnamed.54,Unnamed.90,Unnamed: 145,101,59,19,Unnamed.20,Unnamed.55,Unnamed.91,Unnamed: 152,106,62,20.1,Unnamed.21,Unnamed.56,Unnamed.92,Unnamed: 159,111,65,21.1,Unnamed.22,Unnamed.57,Unnamed.93,Unnamed: 166,116,68,22,Unnamed.23,Unnamed.58,Unnamed.94,Unnamed: 173,121,71.1,23.1,Unnamed.24,Unnamed.59,Unnamed.95,Unnamed: 180,126,74,24,Unnamed.25,Unnamed.60,Unnamed.96,Unnamed: 187,131,77,25,Unnamed.26,Unnamed.61,Unnamed.97,Unnamed: 194,136,80,26.1,Unnamed.27,Unnamed.62,Unnamed.98,Unnamed: 201,141,83,27,Unnamed.28,Unnamed.63,Unnamed.99,Unnamed: 208,146,86.1,28,Unnamed.29,Unnamed.64,Unnamed.100,Unnamed: 215,151,89,29.1,Unnamed.30,Unnamed.65,Unnamed.101,Unnamed: 222,156,92,30,Unnamed.31,Unnamed.66,Unnamed.102,Unnamed: 229,161,95,31.1,Unnamed.32,Unnamed.67,Unnamed.103,Unnamed: 236,166,98,32.1,Unnamed.33,Unnamed.68,Unnamed.104,Unnamed: 243,171,101.1,33,Plate,information
10,10,10,10,D,0.0015120866796178728,0.0012517273837896296,0.0020227914522040415,0.0019326670805711883,0.0018425427089383349,0.001592197232180409,0.0017524183373054817,0.001361879393563117,0.00162223868939136,0.0015120866796178728,0.0019026256233602371,0.001361879393563117,0.001331837936352166,0.0015521419558991408,0.0016422663275319942,0.0012417135647193127,0.001592197232180409,0.001331837936352166,0.001562155774969458,0.0013017964791412148,0.0015721695940397748,0.0027838417015481364,0.128016662994933,0.1090204482185416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,11,11,E,0.001311810298211532,0.0015521419558991408,0.0016923354228835794,0.0016823216038132623,0.001592197232180409,0.001872584166149286,0.0016622939656726283,0.0019226532615008712,0.0014720314033366045,0.001962708537782139,0.0017824597945164326,0.00035048366746109633,0.0018125012517273837,0.0019326670805711883,0.0017223768800945305,0.0014319761270553363,0.0017824597945164326,0.002152971100118163,0.0016322525084616771,0.001602211051250726,0.0014419899461256534,0.008221345456730287,1.0,0.11650077106406842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,12,12,F,0.001341851755422483,0.0012417135647193127,0.0014219623079850194,0.0022430954717510164,0.0019426808996415052,0.0015321143177585068,0.001582183413110092,0.0013017964791412148,0.0019927499949930903,0.0014820452224069216,0.0022731369289619675,0.0015020728605475557,0.0020227914522040415,0.001592197232180409,0.0015521419558991408,0.0017424045182351645,0.0015120866796178728,0.0016522801466023111,0.0019026256233602371,0.0016322525084616771,0.0019026256233602371,0.002763814063407502,0.11973523462378081,0.10543550099136809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,13,13,13,G,0.0014219623079850194,0.0015221004986881897,0.0012316997456489956,0.0013718932126334342,0.0016522801466023111,0.0017123630610242134,0.0009312851735394844,0.0016522801466023111,0.0016823216038132623,0.0016823216038132623,0.0013718932126334342,0.0015120866796178728,0.0005808015060783882,0.0019226532615008712,0.0015221004986881897,0.001562155774969458,0.0015120866796178728,0.0014920590414772385,0.0014920590414772385,0.0014920590414772385,0.0017824597945164326,0.0022531092908213333,0.11087300474655024,0.13246279866215377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,14,14,H,0.0014920590414772385,0.0014620175842662874,0.0015321143177585068,0.0011515891930864593,0.0016322525084616771,0.0014319761270553363,0.001592197232180409,0.0012517273837896296,0.0015321143177585068,0.001582183413110092,0.0017424045182351645,0.0015020728605475557,0.0017824597945164326,0.0012216859265786785,0.0016522801466023111,0.0013919208507740682,0.0014319761270553363,0.0017824597945164326,0.0017023492419538963,0.0011315615549458253,0.0014319761270553363,0.003014159540165428,0.19299633494222027,0.10284192185215597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,15,15,I,0.0015120866796178728,0.0014419899461256534,0.0014319761270553363,0.0016923354228835794,0.0016622939656726283,0.0019226532615008712,0.0017424045182351645,0.0016923354228835794,0.0017924736135867497,0.002373275119665138,0.002032805271274359,0.0022831507480322844,0.0017023492419538963,0.0012517273837896296,0.00189261180428992,0.001592197232180409,0.0014820452224069216,0.002032805271274359,0.001612224870321043,0.00189261180428992,0.0015521419558991408,0.002673689691774649,0.16365584506619135,0.12015581502473413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,16,16,16,J,0.0012216859265786785,0.0012016582884380445,0.0007209949730628267,0.001381907031703751,0.0015721695940397748,0.0013017964791412148,0.001612224870321043,0.0015521419558991408,0.0018125012517273837,0.0013718932126334342,0.0019526947187118223,0.0017323906991648474,0.0015120866796178728,0.0017223768800945305,0.001582183413110092,0.0016723077847429454,0.002032805271274359,0.0014219623079850194,0.0016923354228835794,0.0014319761270553363,0.0017724459754461157,0.0020528329094149926,0.13140133384070016,0.1225991868778915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,17,17,17,K,0.0012817688410005808,0.0014119484889147022,0.001091506278664557,0.001381907031703751,0.0014720314033366045,0.0015020728605475557,0.0012717550219302637,0.002583565320141796,0.0012717550219302637,0.0019026256233602371,0.0019326670805711883,0.002032805271274359,0.0013518655744928,0.0018425427089383349,0.0016923354228835794,0.00189261180428992,0.0016522801466023111,0.0015020728605475557,0.0016422663275319942,0.001962708537782139,0.0015721695940397748,0.0020628467284853095,0.11321623840900442,0.12186817808575835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,18,18,L,0.0015321143177585068,0.0010414371833129719,0.0009112575353988504,0.0027538002443371853,0.001872584166149286,0.0015421281368288237,0.0014820452224069216,0.001381907031703751,0.0010013819070317038,0.00035048366746109633,0.001341851755422483,0.0011315615549458253,0.0016522801466023111,0.0012417135647193127,0.0014319761270553363,0.0014119484889147022,0.001832528889868018,0.0011816306502974105,0.0014820452224069216,0.0004005527628126815,0.0008912298972582163,0.0009212713544691674,0.13585748332699124,0.11129358514750355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,19,19,M,0.0010414371833129719,0.001562155774969458,0.0012817688410005808,0.0012717550219302637,0.001582183413110092,0.0014019346698443853,0.0012417135647193127,0.001562155774969458,0.001321824117281849,0.0017223768800945305,0.0013718932126334342,0.0017424045182351645,0.0016322525084616771,0.0018024874326570668,0.0014920590414772385,0.00162223868939136,0.0011616030121567764,0.001852556528008652,0.0017524183373054817,0.0019827361759227734,0.0012617412028599468,0.0027037311489856,0.12314994692675893,0.1375297911117342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
