,0
0,"['A1', '0.00403153017630423']"
1,"['A2', '0.004573079005957037']"
2,"['A3', '0.0034598953005596004']"
3,"['A4', '0.005054455743426199']"
4,"['A5', '0.004843853420783441']"
5,"['A6', '0.004663337144232505']"
6,"['A7', '0.0036704976232023586']"
7,"['A8', '0.004512906913773392']"
8,"['A9', '0.004302304591130634']"
9,"['A10', '0.0047836813285997955']"
10,"['A11', '0.005054455743426199']"
11,"['A12', '0.004693423190324328']"
12,"['A13', '0.004873939466875263']"
13,"['A14', '0.005656176665262651']"
14,"['A15', '0.0028882604248149707']"
15,"['A16', '0.0029785185630904387']"
16,"['A17', '0.003730669715386004']"
17,"['A18', '0.0037607557614778267']"
18,"['A19', '0.004603165052048859']"
19,"['A20', '0.004422648775497924']"
20,"['A21', '0.004332390637222456']"
21,"['A22', '0.008724953366628558']"
22,"['A23', '0.3833563993020037']"
23,"['A24', '0.38579336903544137']"
24,"['B1', '0.004843853420783441']"
25,"['B2', '0.003700583669294181']"
26,"['B3', '0.004542992959865214']"
27,"['B4', '0.003640411577110536']"
28,"['B5', '0.005325230158252602']"
29,"['B6', '0.004302304591130634']"
30,"['B7', '0.006378241771466394']"
31,"['B8', '0.003820927853661472']"
32,"['B9', '0.006047295264456345']"
33,"['B10', '0.004512906913773392']"
34,"['B11', '0.005325230158252602']"
35,"['B12', '0.004452734821589747']"
36,"['B13', '0.005024369697334376']"
37,"['B14', '0.005234972019977135']"
38,"['B15', '0.004603165052048859']"
39,"['B16', '0.005024369697334376']"
40,"['B17', '0.004302304591130634']"
41,"['B18', '0.0033997232083759553']"
42,"['B19', '0.004663337144232505']"
43,"['B20', '0.003249292977916842']"
44,"['B21', '0.006438413863650039']"
45,"['B22', '0.009507190565015946']"
46,"['B23', '0.41410433840784644']"
47,"['B24', '0.39472892472471266']"
48,"['C1', '0.004843853420783441']"
49,"['C2', '0.005234972019977135']"
50,"['C3', '0.005355316204344425']"
51,"['C4', '0.004422648775497924']"
52,"['C5', '0.005144713881701667']"
53,"['C6', '0.004904025512967086']"
54,"['C7', '0.0059871231722727']"
55,"['C8', '0.005445574342619893']"
56,"['C9', '0.005445574342619893']"
57,"['C10', '0.006588844094109152']"
58,"['C11', '0.004482820867681569']"
59,"['C12', '0.005656176665262651']"
60,"['C13', '0.004934111559058908']"
61,"['C14', '0.005325230158252602']"
62,"['C15', '0.005234972019977135']"
63,"['C16', '0.0063481557253745715']"
64,"['C17', '0.004212046452855165']"
65,"['C18', '0.004242132498946989']"
66,"['C19', '0.0004813767374691618']"
67,"['C20', '0.005084541789518022']"
68,"['C21', '0.005926951080089055']"
69,"['C22', '0.009597448703291413']"
70,"['C23', '0.4235814429267706']"
71,"['C24', '0.5057464348035381']"
72,"['D1', '0.00622781154100728']"
73,"['D2', '0.005144713881701667']"
74,"['D3', '0.004964197605150731']"
75,"['D4', '0.004091702268487875']"
76,"['D5', '0.004272218545038811']"
77,"['D6', '0.005535832480895361']"
78,"['D7', '0.005234972019977135']"
79,"['D8', '0.005535832480895361']"
80,"['D9', '0.005385402250436247']"
81,"['D10', '0.004693423190324328']"
82,"['D11', '0.004452734821589747']"
83,"['D12', '0.004813767374691618']"
84,"['D13', '0.006498585955833684']"
85,"['D14', '0.005355316204344425']"
86,"['D15', '0.005686262711354474']"
87,"['D16', '0.0033696371622841327']"
88,"['D17', '0.006438413863650039']"
89,"['D18', '0.0030086046091822613']"
90,"['D19', '0.004873939466875263']"
91,"['D20', '0.004994283651242553']"
92,"['D21', '0.0040014441302124075']"
93,"['D22', '0.009597448703291413']"
94,"['D23', '0.443859437992659']"
95,"['D24', '0.4336000962753475']"
96,"['E1', '0.004272218545038811']"
97,"['E2', '0.004663337144232505']"
98,"['E3', '0.0031590348396413745']"
99,"['E4', '0.005926951080089055']"
100,"['E5', '0.004061616222396053']"
101,"['E6', '0.004452734821589747']"
102,"['E7', '0.005535832480895361']"
103,"['E8', '0.006017209218364523']"
104,"['E9', '0.004663337144232505']"
105,"['E10', '0.004633251098140683']"
106,"['E11', '0.004242132498946989']"
107,"['E12', '0.006137553402731813']"
108,"['E13', '0.0047836813285997955']"
109,"['E14', '0.004362476683314279']"
110,"['E15', '0.004332390637222456']"
111,"['E16', '0.004603165052048859']"
112,"['E17', '0.004663337144232505']"
113,"['E18', '0.005475660388711716']"
114,"['E19', '0.004422648775497924']"
115,"['E20', '0.004212046452855165']"
116,"['E21', '0.0055659185269871835']"
117,"['E22', '0.007972802214332992']"
118,"['E23', '0.4194897406582827']"
119,"['E24', '0.4374511101751008']"
120,"['F1', '0.005325230158252602']"
121,"['F2', '0.004091702268487875']"
122,"['F3', '0.01684818581142066']"
123,"['F4', '0.003820927853661472']"
124,"['F5', '0.004542992959865214']"
125,"['F6', '0.004813767374691618']"
126,"['F7', '0.005084541789518022']"
127,"['F8', '0.005024369697334376']"
128,"['F9', '0.005355316204344425']"
129,"['F10', '0.0032192069318250196']"
130,"['F11', '0.004813767374691618']"
131,"['F12', '0.004422648775497924']"
132,"['F13', '0.005355316204344425']"
133,"['F14', '0.005144713881701667']"
134,"['F15', '0.005265058066068957']"
135,"['F16', '0.0033696371622841327']"
136,"['F17', '0.004663337144232505']"
137,"['F18', '0.0036704976232023586']"
138,"['F19', '0.005445574342619893']"
139,"['F20', '0.003700583669294181']"
140,"['F21', '0.0055659185269871835']"
141,"['F22', '0.01025934171731151']"
142,"['F23', '0.5554786689933209']"
143,"['F24', '0.42607858475239185']"
144,"['G1', '0.004813767374691618']"
145,"['G2', '0.005505746434803538']"
146,"['G3', '0.005626090619170829']"
147,"['G4', '0.003700583669294181']"
148,"['G5', '0.005054455743426199']"
149,"['G6', '0.004964197605150731']"
150,"['G7', '0.004332390637222456']"
151,"['G8', '0.005024369697334376']"
152,"['G9', '0.004663337144232505']"
153,"['G10', '0.004693423190324328']"
154,"['G11', '0.004693423190324328']"
155,"['G12', '0.0059570371261808775']"
156,"['G13', '0.004904025512967086']"
157,"['G14', '0.004753595282507973']"
158,"['G15', '0.004873939466875263']"
159,"['G16', '0.006618930140200974']"
160,"['G17', '0.005475660388711716']"
161,"['G18', '0.002707744148264035']"
162,"['G19', '0.003249292977916842']"
163,"['G20', '0.00586677898790541']"
164,"['G21', '0.0038510138997532944']"
165,"['G22', '0.009146158011914074']"
166,"['G23', '0.43624766833142786']"
167,"['G24', '0.4651302725795776']"
168,"['H1', '0.00529514411216078']"
169,"['H2', '0.0047836813285997955']"
170,"['H3', '0.005144713881701667']"
171,"['H4', '0.003429809254467778']"
172,"['H5', '0.00415187436067152']"
173,"['H6', '0.003971358084120585']"
174,"['H7', '0.004753595282507973']"
175,"['H8', '0.004482820867681569']"
176,"['H9', '0.005776520849629941']"
177,"['H10', '0.003309465070100487']"
178,"['H11', '0.0047836813285997955']"
179,"['H12', '0.004332390637222456']"
180,"['H13', '0.0055659185269871835']"
181,"['H14', '0.004753595282507973']"
182,"['H15', '0.005385402250436247']"
183,"['H16', '0.005445574342619893']"
184,"['H17', '0.005325230158252602']"
185,"['H18', '0.003820927853661472']"
186,"['H19', '0.004753595282507973']"
187,"['H20', '0.0036704976232023586']"
188,"['H21', '0.004813767374691618']"
189,"['H22', '0.007611769661231121']"
190,"['H23', '0.4576689331488056']"
191,"['H24', '0.6475419700342981']"
192,"['I1', '0.005596004573079006']"
193,"['I2', '0.005144713881701667']"
194,"['I3', '0.0047836813285997955']"
195,"['I4', '0.004603165052048859']"
196,"['I5', '0.00529514411216078']"
197,"['I6', '0.005806606895721764']"
198,"['I7', '0.005385402250436247']"
199,"['I8', '0.005355316204344425']"
200,"['I9', '0.005084541789518022']"
201,"['I10', '0.00622781154100728']"
202,"['I11', '0.004904025512967086']"
203,"['I12', '0.009266502196281366']"
204,"['I13', '0.005475660388711716']"
205,"['I14', '0.004663337144232505']"
206,"['I15', '0.0037908418075696493']"
207,"['I16', '0.001714904627233889']"
208,"['I17', '0.004813767374691618']"
209,"['I18', '0.0059570371261808775']"
210,"['I19', '0.005445574342619893']"
211,"['I20', '0.00622781154100728']"
212,"['I21', '0.009206330104097719']"
213,"['I22', '0.008243576629159395']"
214,"['I23', '0.4397677357241711']"
215,"['I24', '0.4636861423671701']"
216,"['J1', '0.0055659185269871835']"
217,"['J2', '0.0037908418075696493']"
218,"['J3', '0.005234972019977135']"
219,"['J4', '0.006829532462843733']"
220,"['J5', '0.003881099945845117']"
221,"['J6', '0.004813767374691618']"
222,"['J7', '0.00529514411216078']"
223,"['J8', '0.003730669715386004']"
224,"['J9', '0.005596004573079006']"
225,"['J10', '0.003520067392743246']"
226,"['J11', '0.0047836813285997955']"
227,"['J12', '0.004512906913773392']"
228,"['J13', '0.003038690655274084']"
229,"['J14', '0.0075816836151392985']"
230,"['J15', '0.005626090619170829']"
231,"['J16', '0.0028882604248149707']"
232,"['J17', '0.005505746434803538']"
233,"['J18', '0.005114627835609844']"
