,0
0,"['A1', '0.006228589224540642']"
1,"['A2', '0.0071628776082217375']"
2,"['A3', '0.00825288072251635']"
3,"['A4', '0.00747430706944877']"
4,"['A5', '0.008045261081698328']"
5,"['A6', '0.009135264195992941']"
6,"['A7', '0.005138586110246029']"
7,"['A8', '0.011419080244991177']"
8,"['A9', '0.007889546351084813']"
9,"['A10', '0.007785736530675802']"
10,"['A11', '0.00903145437558393']"
11,"['A12', '0.009290978926606457']"
12,"['A13', '0.009394788747015468']"
13,"['A14', '0.006072874493927126']"
14,"['A15', '0.008304785632720855']"
15,"['A16', '0.008045261081698328']"
16,"['A17', '0.006903353057199211']"
17,"['A18', '0.008668120004152393']"
18,"['A19', '0.006540018685767673']"
19,"['A20', '0.011419080244991177']"
20,"['A21', '0.009602408387833489']"
21,"['A22', '0.018218623481781375']"
22,"['A23', '0.8359285788435586']"
23,"['A24', '0.8209280597944566']"
24,"['B1', '0.007422402159244264']"
25,"['B2', '0.00825288072251635']"
26,"['B3', '0.008356690542925361']"
27,"['B4', '0.004930966469428008']"
28,"['B5', '0.006903353057199211']"
29,"['B6', '0.007993356171493823']"
30,"['B7', '0.00747430706944877']"
31,"['B8', '0.006747638326585695']"
32,"['B9', '0.009290978926606457']"
33,"['B10', '0.006436208865358663']"
34,"['B11', '0.011522890065400186']"
35,"['B12', '0.008512405273538876']"
36,"['B13', '0.010017647669469531']"
37,"['B14', '0.009187169106197447']"
38,"['B15', '0.009758123118447004']"
39,"['B16', '0.005709540122495588']"
40,"['B17', '0.008045261081698328']"
41,"['B18', '0.008771929824561403']"
42,"['B19', '0.010017647669469531']"
43,"['B20', '0.009290978926606457']"
44,"['B21', '0.009550503477628983']"
45,"['B22', '0.016194331983805668']"
46,"['B23', '0.8717948717948718']"
47,"['B24', '0.7200249143568982']"
48,"['C1', '0.007681926710266791']"
49,"['C2', '0.009187169106197447']"
50,"['C3', '0.006851448146994706']"
51,"['C4', '0.009498598567424478']"
52,"['C5', '0.009965742759265027']"
53,"['C6', '0.007630021800062286']"
54,"['C7', '0.006851448146994706']"
55,"['C8', '0.007318592338835254']"
56,"['C9', '0.0069552579674037164']"
57,"['C10', '0.007007162877608222']"
58,"['C11', '0.008668120004152393']"
59,"['C12', '0.008979549465379424']"
60,"['C13', '0.0067995432367902']"
61,"['C14', '0.012872417730717326']"
62,"['C15', '0.012353368628672272']"
63,"['C16', '0.008771929824561403']"
64,"['C17', '0.008616215093947888']"
65,"['C18', '0.012976227551126337']"
66,"['C19', '0.010173362400083048']"
67,"['C20', '0.008720024914356897']"
68,"['C21', '0.00903145437558393']"
69,"['C22', '0.018581957853212913']"
70,"['C23', '0.7048686805771825']"
71,"['C24', '0.7141077545935846']"
72,"['D1', '0.007110972698017233']"
73,"['D2', '0.008875739644970414']"
74,"['D3', '0.007318592338835254']"
75,"['D4', '0.007110972698017233']"
76,"['D5', '0.007733831620471297']"
77,"['D6', '0.007422402159244264']"
78,"['D7', '0.009239074016401951']"
79,"['D8', '0.007889546351084813']"
80,"['D9', '0.00981002802865151']"
81,"['D10', '0.006176684314336136']"
82,"['D11', '0.009965742759265027']"
83,"['D12', '0.006540018685767673']"
84,"['D13', '0.009290978926606457']"
85,"['D14', '0.008512405273538876']"
86,"['D15', '0.007941451261289319']"
87,"['D16', '0.00892764455517492']"
88,"['D17', '0.009498598567424478']"
89,"['D18', '0.008097165991902834']"
90,"['D19', '0.011315270424582165']"
91,"['D20', '0.006384303955154157']"
92,"['D21', '0.009187169106197447']"
93,"['D22', '0.015311948510329076']"
94,"['D23', '0.6994186650057096']"
95,"['D24', '0.7151977577078792']"
96,"['E1', '0.0075781168898577805']"
97,"['E2', '0.008045261081698328']"
98,"['E3', '0.006591923595972179']"
99,"['E4', '0.005190491020450535']"
100,"['E5', '0.004567632097996471']"
101,"['E6', '0.005501920481677566']"
102,"['E7', '0.003996678085746911']"
103,"['E8', '0.0075781168898577805']"
104,"['E9', '0.007837641440880307']"
105,"['E10', '0.009758123118447004']"
106,"['E11', '0.00981002802865151']"
107,"['E12', '0.009083359285788436']"
108,"['E13', '0.008304785632720855']"
109,"['E14', '0.009187169106197447']"
110,"['E15', '0.010069552579674037']"
111,"['E16', '0.007889546351084813']"
112,"['E17', '0.005813349942904599']"
113,"['E18', '0.008668120004152393']"
114,"['E19', '0.006436208865358663']"
115,"['E20', '0.011626699885809198']"
116,"['E21', '0.008823834734765909']"
117,"['E22', '0.01863386276341742']"
118,"['E23', '0.6363541991072356']"
119,"['E24', '0.6334994290459878']"
120,"['F1', '0.0067995432367902']"
121,"['F2', '0.006124779404131631']"
122,"['F3', '0.003892868265337901']"
123,"['F4', '0.004411917367382954']"
124,"['F5', '0.0004671441918405481']"
125,"['F6', '0.0019723865877712033']"
126,"['F7', '0.00602096958372262']"
127,"['F8', '0.008356690542925361']"
