,0
0,"['A1', '0.00020650263620386643']"
1,"['A2', '0.00017135325131810195']"
2,"['A3', '0.00016915641476274165']"
3,"['A4', '0.0002746045694200352']"
4,"['A5', '0.0002899824253075571']"
5,"['A6', '0.00028558875219683653']"
6,"['A7', '0.0003405096660808436']"
7,"['A8', '0.000281195079086116']"
8,"['A9', '0.00013181019332161688']"
9,"['A10', '0.0002218804920913884']"
10,"['A11', '0.00020869947275922672']"
11,"['A12', '0.0002240773286467487']"
12,"['A13', '0.00030536028119507907']"
13,"['A14', '0.0003031634446397188']"
14,"['A15', '0.0002724077328646749']"
15,"['A16', '0.0003185413005272408']"
16,"['A17', '0.00024165202108963093']"
17,"['A18', '0.0001999121265377856']"
18,"['A19', '0.00023725834797891037']"
19,"['A20', '0.0003405096660808436']"
20,"['A21', '0.00019112478031634445']"
21,"['A22', '0.00038005272407732867']"
22,"['A23', '0.014123462214411247']"
23,"['A24', '0.011065465729349737']"
24,"['B1', '0.0002921792618629174']"
25,"['B2', '0.0002746045694200352']"
26,"['B3', '0.0002899824253075571']"
27,"['B4', '0.0002943760984182777']"
28,"['B5', '0.00024165202108963093']"
29,"['B6', '0.0002240773286467487']"
30,"['B7', '0.0003383128295254833']"
31,"['B8', '0.0003141476274165202']"
32,"['B9', '0.0003339191564147627']"
33,"['B10', '0.0003405096660808436']"
34,"['B11', '0.00035808435852372584']"
35,"['B12', '0.00032293497363796136']"
36,"['B13', '0.0003317223198594025']"
37,"['B14', '0.0002899824253075571']"
38,"['B15', '0.00042179261862917397']"
39,"['B16', '0.00031195079086115995']"
40,"['B17', '0.0003822495606326889']"
41,"['B18', '0.00025483304042179264']"
42,"['B19', '0.000336115992970123']"
43,"['B20', '0.00022627416520210896']"
44,"['B21', '0.0003251318101933216']"
45,"['B22', '0.0003756590509666081']"
46,"['B23', '0.02242970123022847']"
47,"['B24', '0.018851054481546572']"
48,"['C1', '0.00021748681898066784']"
49,"['C2', '0.00029876977152899824']"
50,"['C3', '0.00018453427065026363']"
51,"['C4', '0.00030755711775043936']"
52,"['C5', '0.0002570298769771529']"
53,"['C6', '0.0003954305799648506']"
54,"['C7', '0.0003185413005272408']"
55,"['C8', '0.00036467486818980667']"
