,0
0,"['A1', '0.011850501367365542']"
1,"['A2', '0.009343664539653601']"
2,"['A3', '0.005773321178972957']"
3,"['A4', '0.007292616226071103']"
4,"['A5', '0.0031905195989061076']"
5,"['A6', '0.0035703433606806443']"
6,"['A7', '0.0012914007900334246']"
7,"['A8', '0.0052415679124886054']"
8,"['A9', '0.005697356426618049']"
9,"['A10', '0.007520510483135825']"
10,"['A11', '0.00995138255849286']"
11,"['A12', '0.008735946520814343']"
12,"['A13', '0.01078699483439684']"
13,"['A14', '0.011850501367365542']"
14,"['A15', '0.010255241567912488']"
15,"['A16', '0.00539349741719842']"
16,"['A17', '0.0']"
17,"['A18', '0.0031145548465512']"
18,"['A19', '0.007520510483135825']"
19,"['A20', '0.008432087511394713']"
20,"['A21', '0.008659981768459436']"
21,"['A22', '0.003494378608325737']"
22,"['A23', '0.8802035855363112']"
23,"['A24', '0.70077484047402']"
24,"['B1', '0.010862959586751748']"
25,"['B2', '0.007824369492555454']"
26,"['B3', '0.0054694621695533276']"
27,"['B4', '0.00850805226374962']"
28,"['B5', '0.007976298997265268']"
29,"['B6', '0.0036463081130355514']"
30,"['B7', '0.004633849893649347']"
31,"['B8', '0.003494378608325737']"
32,"['B9', '0.007140686721361289']"
33,"['B10', '0.007748404740200547']"
34,"['B11', '0.011470677605591006']"
35,"['B12', '0.008052263749620175']"
36,"['B13', '0.011014889091461562']"
37,"['B14', '0.007520510483135825']"
38,"['B15', '0.010407171072622304']"
39,"['B16', '0.008963840777879064']"
40,"['B17', '0.008963840777879064']"
41,"['B18', '0.008659981768459436']"
42,"['B19', '0.0069127924642965665']"
43,"['B20', '0.009495594044363415']"
44,"['B21', '0.008432087511394713']"
45,"['B22', '0.016636280765724702']"
46,"['B23', '0.7915527195381343']"
47,"['B24', '0.7285779398359161']"
48,"['C1', '0.010938924339106655']"
49,"['C2', '0.012078395624430265']"
50,"['C3', '0.01109085384381647']"
51,"['C4', '0.010862959586751748']"
52,"['C5', '0.009115770282588878']"
53,"['C6', '0.009799453053783045']"
54,"['C7', '0.006988757216651474']"
55,"['C8', '0.008887876025524157']"
56,"['C9', '0.007216651473716196']"
57,"['C10', '0.009495594044363415']"
58,"['C11', '0.009419629292008508']"
59,"['C12', '0.006305074445457308']"
60,"['C13', '0.008735946520814343']"
61,"['C14', '0.011166818596171376']"
62,"['C15', '0.029930112427833486']"
63,"['C16', '0.011470677605591006']"
64,"['C17', '0.008659981768459436']"
65,"['C18', '0.007444545730780918']"
66,"['C19', '0.01078699483439684']"
67,"['C20', '0.00850805226374962']"
68,"['C21', '0.0031145548465512']"
69,"['C22', '0.015496809480401094']"
70,"['C23', '0.7812215132178669']"
71,"['C24', '0.753266484351261']"
72,"['D1', '0.013445761166818596']"
73,"['D2', '0.007900334244910361']"
74,"['D3', '0.012306289881494986']"
75,"['D4', '0.0069127924642965665']"
76,"['D5', '0.010331206320267397']"
77,"['D6', '0.008128228501975084']"
78,"['D7', '0.010407171072622304']"
79,"['D8', '0.009343664539653601']"
80,"['D9', '0.006153144940747493']"
81,"['D10', '0.007900334244910361']"
82,"['D11', '0.009495594044363415']"
83,"['D12', '0.0054694621695533276']"
84,"['D13', '0.008735946520814343']"
85,"['D14', '0.008128228501975084']"
86,"['D15', '0.009723488301428137']"
87,"['D16', '0.011546642357945914']"
88,"['D17', '0.007748404740200547']"
89,"['D18', '0.007520510483135825']"
90,"['D19', '0.008735946520814343']"
91,"['D20', '0.007292616226071103']"
92,"['D21', '0.00995138255849286']"
93,"['D22', '0.01731996353691887']"
94,"['D23', '0.8368277119416591']"
95,"['D24', '0.9064873898511091']"
96,"['E1', '0.010938924339106655']"
97,"['E2', '0.01473716195685202']"
98,"['E3', '0.009799453053783045']"
99,"['E4', '0.013141902157398968']"
100,"['E5', '0.004481920388939532']"
101,"['E6', '0.010255241567912488']"
102,"['E7', '0.010407171072622304']"
103,"['E8', '0.010635065329687025']"
104,"['E9', '0.007976298997265268']"
105,"['E10', '0.00964752354907323']"
106,"['E11', '0.007596475235490732']"
107,"['E12', '0.00736858097842601']"
108,"['E13', '0.008584017016104527']"
109,"['E14', '0.01078699483439684']"
110,"['E15', '0.007824369492555454']"
111,"['E16', '0.00736858097842601']"
112,"['E17', '0.007292616226071103']"
113,"['E18', '0.009799453053783045']"
114,"['E19', '0.00030385900941962927']"
115,"['E20', '0.008887876025524157']"
116,"['E21', '0.00767243998784564']"
117,"['E22', '0.015116985718626557']"
118,"['E23', '0.9314038286235187']"
119,"['E24', '0.7638255849285931']"
120,"['F1', '0.011014889091461562']"
121,"['F2', '0.008584017016104527']"
122,"['F3', '0.010559100577332118']"
123,"['F4', '0.006988757216651474']"
124,"['F5', '0.008735946520814343']"
125,"['F6', '0.01017927681555758']"
126,"['F7', '0.008356122759039806']"
127,"['F8', '0.00736858097842601']"
128,"['F9', '0.009115770282588878']"
129,"['F10', '0.0067608629595867515']"
130,"['F11', '0.008204193254329991']"
131,"['F12', '0.009723488301428137']"
132,"['F13', '0.011166818596171376']"
133,"['F14', '0.007292616226071103']"
134,"['F15', '0.008280158006684898']"
135,"['F16', '0.006381039197812215']"
136,"['F17', '0.010711030082041932']"
137,"['F18', '0.008204193254329991']"
138,"['F19', '0.009875417806137952']"
139,"['F20', '0.005545426921908235']"
140,"['F21', '0.010483135824977211']"
141,"['F22', '0.01671224551807961']"
142,"['F23', '0.8223944089942267']"
143,"['F24', '1.0']"
144,"['G1', '0.00881191127316925']"
145,"['G2', '0.013521725919173503']"
146,"['G3', '0.010331206320267397']"
147,"['G4', '0.008887876025524157']"
148,"['G5', '0.007976298997265268']"
149,"['G6', '0.012002430872075358']"
150,"['G7', '0.008280158006684898']"
151,"['G8', '0.008584017016104527']"
152,"['G9', '0.009875417806137952']"
153,"['G10', '0.008204193254329991']"
154,"['G11', '0.00539349741719842']"
155,"['G12', '0.009115770282588878']"
156,"['G13', '0.010635065329687025']"
157,"['G14', '0.007900334244910361']"
158,"['G15', '0.0069127924642965665']"
159,"['G16', '0.008584017016104527']"
160,"['G17', '0.0032664843512610147']"
161,"['G18', '0.00767243998784564']"
162,"['G19', '0.008052263749620175']"
163,"['G20', '0.009571558796718322']"
164,"['G21', '0.0018231540565177757']"
165,"['G22', '0.014661197204497113']"
166,"['G23', '0.8134305682163476']"
167,"['G24', '0.7882862351868732']"
168,"['H1', '0.009191735034943787']"
169,"['H2', '0.007748404740200547']"
170,"['H3', '0.00767243998784564']"
171,"['H4', '0.008735946520814343']"
172,"['H5', '0.011242783348526283']"
173,"['H6', '0.00736858097842601']"
174,"['H7', '0.00850805226374962']"
175,"['H8', '0.00767243998784564']"
176,"['H9', '0.005621391674263142']"
177,"['H10', '0.005165603160133698']"
178,"['H11', '0.00736858097842601']"
179,"['H12', '0.004709814646004254']"
180,"['H13', '0.01078699483439684']"
181,"['H14', '0.009039805530233971']"
182,"['H15', '0.007064721969006381']"
183,"['H16', '0.005849285931327864']"
184,"['H17', '0.011014889091461562']"
185,"['H18', '0.005013673655423883']"
186,"['H19', '0.009723488301428137']"
187,"['H20', '0.008963840777879064']"
188,"['H21', '0.006305074445457308']"
189,"['H22', '0.016940139775144334']"
190,"['H23', '0.8449559404436342']"
191,"['H24', '0.7490884229717412']"
192,"['I1', '0.010407171072622304']"
193,"['I2', '0.009799453053783045']"
194,"['I3', '0.00964752354907323']"
195,"['I4', '0.009039805530233971']"
196,"['I5', '0.009799453053783045']"
197,"['I6', '0.00736858097842601']"
198,"['I7', '0.006532968702522029']"
199,"['I8', '0.006608933454876937']"
200,"['I9', '0.007748404740200547']"
201,"['I10', '0.009571558796718322']"
202,"['I11', '0.004557885141294439']"
203,"['I12', '0.008735946520814343']"
204,"['I13', '0.006988757216651474']"
205,"['I14', '0.007292616226071103']"
206,"['I15', '0.008356122759039806']"
207,"['I16', '0.006001215436037679']"
208,"['I17', '0.009495594044363415']"
209,"['I18', '0.00964752354907323']"
210,"['I19', '0.009191735034943787']"
211,"['I20', '0.010331206320267397']"
212,"['I21', '0.007520510483135825']"
213,"['I22', '0.013445761166818596']"
214,"['I23', '0.8207991491947736']"
215,"['I24', '0.7917046490428441']"
216,"['J1', '0.010559100577332118']"
217,"['J2', '0.008963840777879064']"
218,"['J3', '0.008204193254329991']"
219,"['J4', '0.007824369492555454']"
220,"['J5', '0.010559100577332118']"
221,"['J6', '0.003038590094196293']"
222,"['J7', '0.009495594044363415']"
223,"['J8', '0.007748404740200547']"
