,Unnamed: 0,Unnamed: 1,Unnamed,Unnamed: 3,0,Unnamed.1,Unnamed: 6,1,Unnamed.2,Unnamed: 9,2,Unnamed.3,Unnamed: 12,3,Unnamed.4,Unnamed: 15,4,Unnamed.5,Unnamed: 18,5,Unnamed.6,Unnamed: 21,6,Unnamed.7,Unnamed: 24,7,Unnamed.8,Unnamed: 27,8,Unnamed.9,Unnamed: 30,9,Unnamed.10,Unnamed: 33,10,Unnamed.11,Unnamed: 36,11,Unnamed.12,Unnamed: 39,12,Unnamed.13,Unnamed: 42,13,Unnamed.14,Unnamed: 45,14,Unnamed.15,Unnamed: 48,15,Unnamed.16,Unnamed: 51,16,Unnamed.17,Unnamed: 54,17,Unnamed.18,Unnamed: 57,18,Unnamed.19,Unnamed: 60,19,Unnamed.20,Unnamed: 63,20,Unnamed.21,Unnamed: 66,21,Unnamed.22,Unnamed: 69,22,Unnamed.23,Unnamed: 72,23,Unnamed.24,Unnamed: 75,24
0,Plate,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,A,0.0499829989799388,0.062053723223393406,0.04947296837810269,0.057973478408704524,0.057293437606256374,0.0569534172050323,0.06443386603196191,0.05423325399523971,0.15402924175450527,0.06443386603196191,0.08534512070724243,0.0754845290717443,0.07769466167970078,0.07514450867052024,0.06562393743624617,0.07837470248214892,0.09877592655559334,0.10421625297517852,0.11577694661679701,0.10846650799047942,0.13124787487249234,0.14484869092145528,0.0015300918055083305,0.7970078204692281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,B,0.06562393743624617,0.05304318259095546,0.047942876572594356,0.033321999319959196,0.06392383543012581,0.05236314178850731,0.05083304998299898,0.05134308058483509,0.04896293777626658,0.057293437606256374,0.04879292757565454,0.06375382522951377,0.06188371302278137,0.06732403944236655,0.05100306018361102,0.07446446786807208,0.07055423325399524,0.07225433526011561,0.08279496769806188,0.07463447806868412,0.0685141108466508,0.07786467188031282,0.0006800408024481469,0.7529751785107106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,C,0.13158789527371642,0.0537232233934036,0.03434206052363142,0.048452907174430467,0.04131247874872492,0.04335260115606936,0.05491329479768786,0.05559333560013601,0.0518531111866712,0.04947296837810269,0.04947296837810269,0.04896293777626658,0.0569534172050323,0.06239374362461748,0.05406324379462768,0.05151309078544713,0.0550833049982999,0.18276096565793948,0.08143488609316558,0.060863651819109146,0.06375382522951377,0.060183611016661,0.00017001020061203673,0.6638898333900034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,D,0.047602856171370285,0.047602856171370285,0.048622917375042506,0.04301258075484529,0.045902754165249915,0.046922815368922136,0.016490989459367562,0.041652499149949,0.05032301938116287,0.045732743964637876,0.047432845970758246,0.03740224413464808,0.08279496769806188,0.04012240734444067,0.03434206052363142,0.059333560013600815,0.05542332539952397,0.05355321319279157,0.0537232233934036,0.05457327439646379,0.057803468208092484,0.0569534172050323,0.0006800408024481469,0.704012240734444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,E,0.05117307038422305,0.041652499149949,0.04148248894933696,0.04080244814688881,0.04148248894933696,0.029921795307718463,0.048622917375042506,0.03791227473648419,0.047602856171370285,0.031451887113226794,0.06630397823869433,0.04114246854811289,0.04284257055423325,0.044712682760965655,0.04981298877932676,0.04947296837810269,0.058143488609316556,0.014110846650799048,0.034172050323019384,0.022781366882012922,0.047432845970758246,0.041652499149949,0.0008500510030601836,0.7903774226453587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,F,0.11985719143148589,0.046752805168310096,0.045732743964637876,0.044712682760965655,0.04216252975178511,0.03672220333219993,0.044372662359741584,0.04250255015300918,0.026691601496089765,0.047602856171370285,0.06307378442706563,0.04335260115606936,0.044882692961577694,0.04896293777626658,0.04063243794627678,0.02856171370282217,0.05168310098605916,0.049132947976878616,0.024141448486909214,0.0499829989799388,0.04148248894933696,0.04012240734444067,0.002040122407344441,0.7953077184631078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
