,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Plate,information,Unnamed,Unnamed: 19,2,Unnamed.1,Unnamed: 22,3,Unnamed.2,Unnamed: 25,4,Unnamed.3,Unnamed: 28,5,Unnamed.4,Unnamed: 31,6,Unnamed.5,Unnamed: 34,7,Unnamed.6,Unnamed: 37,8,Unnamed.7,Unnamed: 40,9,Unnamed.8,Unnamed: 43,10,Unnamed.9,Unnamed: 46,11,Unnamed.10,Unnamed: 49,12,Unnamed.11,Unnamed: 52,13,Unnamed.12,Unnamed: 55,14,Unnamed.13,Unnamed: 58,15,Unnamed.14,Unnamed: 61,16,Unnamed.15,Unnamed: 64,17,Unnamed.16,Unnamed: 67,18,Unnamed.17,Unnamed: 70,19,Unnamed.18,Unnamed: 73,20,Unnamed.19,Unnamed: 76,21,Unnamed.20,Unnamed: 79,22,Unnamed.21,Unnamed: 82,23,Unnamed.22,Unnamed: 85,24,Unnamed.23,Unnamed: 88,25,Unnamed.24,Unnamed: 91,26
0,Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,,14.41,22.28,22,45.3,44.8,22.36,22.58,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/31/2023,12,16,11,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1,Pingping,US,LUM,384,(cps),0,12,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,A,0.08055898068228524,0.11960542540073983,0.23468968351829017,0.10922729140978216,0.02877106452938759,0.04356761200164406,0.20745992601726265,0.13738183312782573,0.01870119194410193,0.03308672420879573,0.043773119605425403,0.03175092478421702,0.03986847513357994,0.03586107685984381,0.034319769831483764,0.027846280312371557,0.03020961775585697,0.034319769831483764,0.0331894780106864,0.031442663378545004,0.0031853678586107686,0.02424989724619811,0.002568845047266749,0.7099260172626387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,0.05661734484175915,0.06247431154952733,0.057850390464447184,0.05497328401150842,0.060008220304151254,0.15330867242087956,0.0632963419646527,0.04130702836004932,0.030415125359638306,0.03534730785039047,0.02322235922729141,0.034114262227702426,0.032778462803123715,0.03401150842581176,0.03812166050143855,0.035655569256062475,0.034114262227702426,0.03154541718043568,0.028462803123715578,0.03020961775585697,0.0198314837648993,0.02250308261405672,0.0013357994245787094,0.6411837237977805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,C,0.051890669954788325,0.0632963419646527,0.016543362104397864,0.058364159473900536,0.059083436087135226,0.06103575832305795,0.04767776407727086,0.051274147143444304,0.04264282778462803,0.04572544184134813,0.038635429510891904,0.014282778462803123,0.028154541718043567,0.03678586107685984,0.03524455404849979,0.6171393341553637,0.05281545417180436,0.03822441430332922,0.036272092067406496,0.03370324702013974,0.027846280312371557,0.03370324702013974,0.0027743526510480886,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,0.04418413481298808,0.04757501027538019,0.015721331689272502,0.04603370324702014,0.03545006165228114,0.04706124126592684,0.04572544184134813,0.03678586107685984,0.039971228935470615,0.033497739416358405,0.02640772708590218,0.028462803123715578,0.021475544595150022,0.032881216605014384,0.031031648170982327,0.03380600082203041,0.03668310727496917,0.031237155774763666,0.02476366625565146,0.02794903411426223,0.026304973284011508,0.02414714344430744,0.004829428688861488,0.6621454993834772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,E,0.036477599671187834,0.04161528976572133,0.04510891903000411,0.04284833538840937,0.04192355117139334,0.03894369091656391,0.039149198520345256,0.02949034114262228,0.036374845869297165,0.030106863953966296,0.025585696670776818,0.03247020139745171,0.036991368680641186,0.015413070283600493,0.07120838471023427,0.03750513769009453,0.03545006165228114,0.030826140567200986,0.011200164406083025,0.029798602548294285,0.03442252363337443,0.030004110152075627,0.002363337443485409,0.8509042334566379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,F,0.03884093711467324,0.038635429510891904,0.033497739416358405,0.017057131113851213,0.02106452938758734,0.034114262227702426,0.033394985614467736,0.02681874229346486,0.031031648170982327,0.028976572133168926,0.031339909576654335,0.02127003699136868,0.028257295519934236,0.07511302918207974,0.03236744759556104,0.034319769831483764,0.027538018906699546,0.02681874229346486,0.020036991368680642,0.021475544595150022,0.024455404849979448,0.02424989724619811,0.004829428688861488,0.6447801068639539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,G,0.03606658446362515,0.03596383066173448,0.042231812577065354,0.04531442663378545,0.03873818331278257,0.053329223181257705,0.03873818331278257,0.03740238388820386,0.03462803123715578,0.032778462803123715,0.03740238388820386,0.039149198520345256,0.036991368680641186,0.028565556925606247,0.034114262227702426,0.03175092478421702,0.029593094944512947,0.03298397040690505,0.03956021372790793,0.028976572133168926,0.028668310727496916,0.027846280312371557,0.0,0.6215577476366626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,H,0.030928894369091655,0.03976572133168927,0.04027949034114262,0.034319769831483764,0.034217016029593095,0.028154541718043567,0.03185367858610769,0.029593094944512947,0.028154541718043567,0.030928894369091655,0.03185367858610769,0.029387587340731606,0.03257295519934238,0.030415125359638306,0.007912042745581587,0.028257295519934236,0.03175092478421702,0.025996711878339497,0.03164817098232635,0.02229757501027538,0.028051787916152898,0.027332511302918208,0.002157829839704069,0.687422934648582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,I,0.03678586107685984,0.04202630497328401,0.04408138101109741,0.02949034114262228,0.03873818331278257,0.061344019728729965,0.03832716810521989,0.033394985614467736,0.036272092067406496,0.03247020139745171,0.029593094944512947,0.04161528976572133,0.03257295519934238,0.03545006165228114,0.029284833538840937,0.03154541718043568,0.032881216605014384,0.025585696670776818,0.033394985614467736,0.034319769831483764,0.03236744759556104,0.033394985614467736,0.0010275380189066995,0.7110563090834361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,J,0.02764077270859022,0.03545006165228114,0.02250308261405672,0.0458281956432388,0.030004110152075627,0.013460748047677764,0.02260583641594739,0.034936292642827785,0.06997533908754625,0.02342786683107275,0.030928894369091655,0.02096177558569667,0.032059186189889025,0.031031648170982327,0.02044800657624332,0.027538018906699546,0.031442663378545004,0.02476366625565146,0.03226469379367036,0.029901356350184958,0.029182079736950268,0.02250308261405672,0.004007398273736128,0.9232429099876696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,K,0.03534730785039047,0.03545006165228114,0.029387587340731606,0.04254007398273736,0.02044800657624332,0.03514180024660912,0.03442252363337443,0.02096177558569667,0.0290793259350596,0.025996711878339497,0.03586107685984381,0.030928894369091655,0.030620632963419648,0.03524455404849979,0.0290793259350596,0.032881216605014384,0.02640772708590218,0.031031648170982327,0.06021372790793259,0.030517879161528975,0.02764077270859022,0.02836004932182491,0.0006165228113440197,0.6340937114673243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,L,0.03390875462392109,0.031339909576654335,0.02877106452938759,0.030004110152075627,0.032161939991779694,0.026304973284011508,0.030826140567200986,0.02455815865187012,0.02353062063296342,0.02836004932182491,0.02692149609535553,0.02353062063296342,0.0249691738594328,0.02178380600082203,0.014591039868475134,0.016029593094944512,0.02681874229346486,0.009350595972050966,0.02476366625565146,0.02692149609535553,0.02609946568023017,0.02527743526510481,0.0009247842170160296,0.6552609946568023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,M,0.027332511302918208,0.035758323057953144,0.029695848746403616,0.04254007398273736,0.034319769831483764,0.034833538840937116,0.04839704069050555,0.032059186189889025,0.04192355117139334,0.02877106452938759,0.03473078503904645,0.030723386765310317,0.036477599671187834,0.028154541718043567,0.030415125359638306,0.03185367858610769,0.027024249897246198,0.016748869708179202,0.03020961775585697,0.036477599671187834,0.01757090012330456,0.02620221948212084,0.0008220304151253596,0.7273941635840526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,N,0.02764077270859022,0.02681874229346486,0.02640772708590218,0.027024249897246198,0.028565556925606247,0.02270859021783806,0.02168105219893136,0.037710645293875876,0.06658446362515413,0.025996711878339497,0.024866420057542128,0.02476366625565146,0.02414714344430744,0.021475544595150022,0.0229140978216194,0.02157829839704069,0.02301685162351007,0.026304973284011508,0.02507192766132347,0.02507192766132347,0.02681874229346486,0.013152486642005754,0.0017468146321413893,0.6870119194410194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,O,0.028257295519934236,0.04305384299219071,0.04438964241676942,0.034114262227702426,0.03822441430332922,0.034833538840937116,0.03534730785039047,0.03750513769009453,0.039354706124126594,0.057644882860665846,0.03545006165228114,0.03524455404849979,0.04325935059597205,0.0376078914919852,0.034833538840937116,0.03175092478421702,0.030826140567200986,0.033497739416358405,0.0345252774352651,0.03812166050143855,0.03154541718043568,0.020859021783806,0.0015413070283600493,0.8274763666255651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,P,0.02794903411426223,0.028873818331278257,0.03812166050143855,0.06894780106863954,0.04058775174681463,0.030620632963419648,0.05661734484175915,0.025585696670776818,0.02548294286888615,0.027024249897246198,0.027538018906699546,0.02507192766132347,0.025996711878339497,0.0249691738594328,0.02507192766132347,0.0249691738594328,0.027127003699136867,0.02435265104808878,0.01829017673653925,0.02435265104808878,0.03616933826551583,0.02764077270859022,0.02209206740649404,0.5419235511713933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Assay,ID,,,,,,2981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Assay,Started,,,,,,8/31/2023,12,14,39,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Assay,Finished,,,,,,8/31/2023,12,16,26,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Assay,Exported,,,,,,8/31/2023,12,16,26,PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Protocol,ID,,,,,,100188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Protocol,Name,,,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Serial#,,,,,,1040181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Protocol,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Protocol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Protocol,name,,,,test,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Number,of,assay,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Start,assay,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Number,of,plate,repeats,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Start,plate,repeat,each,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Is,label,meas.,height,used,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Height,of,measurement,,,,6.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Is,gripper,height,used,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Gripper,height,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Mode,of,measurement,,,,By,Rows,,bi-directional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Rotated,plate,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Soft,move,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Protocol,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Plate,type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Name,of,the,plate,type,,,,384,Greiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Number,of,rows,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Number,of,columns,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Number,of,the,wells,in,the,plate,,,,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Height,of,the,plate,,,,10.12,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Coordinates,of,corners,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,384,Greiner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,12,mm,x---------------------------------------------------------,x,115.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,12,mm,x---------------------------------------------------------,x,115.5,mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
