,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.37,21.69,22,42.9,42.9,22.85,22.48,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/30/2023,2,19,19,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,20,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
12840,14800,16120,16120,18560,37400,14840,37320,12680,13720,24160,27000,15400,14640,14560,16400,41280,21040,16160,41120,15240,43080,1520,198720,,,,,,,,,,,,
14400,16920,14720,14720,14760,13920,14000,14640,17280,15520,19440,13480,16720,23440,15360,12000,25840,16600,14200,14280,15760,13120,1280,187720,,,,,,,,,,,,
14480,41840,15480,13760,16600,14680,15400,15560,15680,51480,15840,15640,27400,16720,15240,27600,15560,15680,26000,16120,35600,62720,1480,193240,,,,,,,,,,,,
16400,15400,17840,15280,17560,38800,15040,15160,14880,17000,16240,52840,25120,14760,15440,91840,25000,26400,30520,14360,13440,16120,1400,207680,,,,,,,,,,,,
15000,14520,15880,14400,15480,21440,27200,15520,26640,23320,32160,16280,15200,12480,37280,15840,41480,11120,13960,49800,15480,24000,1200,183720,,,,,,,,,,,,
41080,51360,14320,19120,15520,14720,15440,16560,34320,33160,63800,33120,25960,18280,20840,17200,16920,14840,15360,34080,9240,12760,1240,185440,,,,,,,,,,,,
14280,18080,49440,11800,17200,16120,21560,11320,15480,14960,16720,14840,18000,21920,16080,15400,26960,14840,7240,14000,13560,11320,1040,179960,,,,,,,,,,,,
13200,14920,13280,15400,14880,11880,13440,15760,20080,14400,27960,15560,14560,30160,18400,10760,27400,26520,82040,14480,15920,10160,1120,178920,,,,,,,,,,,,
15120,44760,17400,17120,31520,17680,17760,15680,14680,14400,16240,14160,13200,7120,16200,14520,14560,15240,30480,15960,21400,14680,1160,191640,,,,,,,,,,,,
36360,16000,36160,17120,36400,16280,16280,23920,15880,14320,31640,14560,17320,24960,14400,14720,19280,15480,26520,19920,11360,13280,1440,185320,,,,,,,,,,,,
45160,36800,10400,13120,16040,42840,15960,13720,15440,15880,15080,17400,23640,15320,14840,12760,23600,15200,14520,14080,14360,15120,960,172200,,,,,,,,,,,,
14320,15360,15800,13720,15600,14040,15240,15160,30640,14320,42080,44400,15760,14520,16320,14360,25840,14840,15720,17080,11760,13520,1200,172760,,,,,,,,,,,,
17160,29000,16200,17080,16480,15000,17160,21800,44040,20360,27160,34920,15240,25280,15000,35480,36440,15280,14960,9360,25800,13800,1080,165120,,,,,,,,,,,,
18520,15920,14840,18600,16400,14680,15480,11320,14560,16080,17480,14720,16240,24560,39040,13080,12840,14720,15000,17400,15200,12120,1120,177120,,,,,,,,,,,,
27000,39400,18800,22760,9240,23760,20040,17920,17760,18560,32760,16840,10040,16360,23120,17160,13840,17560,14440,15160,14640,12960,1080,164240,,,,,,,,,,,,
35000,38600,28360,23280,20160,19560,20200,21040,16520,18840,17920,18400,15440,15480,16240,14560,15280,17360,32200,35720,22600,8840,800,151720,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2972,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,8/30/2023,2,17,46,PM,,,,,,,,,,,,,,,,,,,,,,,,
