,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.33,21.39,21.61,44,43.7,21.97,21.99,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,8/30/2023,2,15,12,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,28,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
12720,15720,15520,10080,14840,16240,16000,15320,12600,15680,30800,11680,7440,19120,26360,41760,20720,29080,27400,26960,12600,30720,1920,285480,,,,,,,,,,,,
22680,18080,17080,14600,11560,16240,20960,13520,17600,18760,24960,17720,21000,17080,17920,18160,31680,19920,21920,44280,22120,34440,1840,255640,,,,,,,,,,,,
22640,15800,15640,16400,14800,15920,14600,16920,31120,16840,27720,18400,32480,29720,53960,11320,13880,24320,9320,20760,28600,24760,1640,266080,,,,,,,,,,,,
22400,17400,16280,16280,1520,17880,17360,19920,17400,16920,18400,15320,39480,15400,34040,3200,5840,19360,19880,27720,18920,6760,1320,235040,,,,,,,,,,,,
13080,16240,16440,15680,15320,17400,16840,17800,17080,17640,15320,19320,51000,19080,17600,18040,27280,5720,18960,20360,14640,18120,1400,218760,,,,,,,,,,,,
41400,34120,16520,17960,15840,16600,18280,19520,27560,17760,17320,18240,18600,30240,18760,23200,19520,18400,8640,33520,17760,16240,1320,215120,,,,,,,,,,,,
13440,14280,13640,13680,10400,14800,39200,14400,17560,15520,24320,35400,24000,17280,15880,17560,53280,17040,14240,15040,20800,33560,1360,196920,,,,,,,,,,,,
15280,16800,16560,43560,35640,16360,17960,23120,10680,17000,17440,17160,51480,27320,27560,28760,10440,16560,30800,32320,34440,20000,1320,198360,,,,,,,,,,,,
15720,16120,17760,13640,16320,14200,12000,15400,6360,2040,17680,52920,18120,18320,18880,17480,22360,27000,16800,16440,39960,18720,1080,205120,,,,,,,,,,,,
15760,15040,15880,15920,17200,10520,17640,31800,17600,17680,17360,16400,19080,18960,19120,42520,18080,16560,21120,16360,17640,12600,1280,201200,,,,,,,,,,,,
14520,16240,10840,16680,16280,11960,37280,18880,49760,26120,29800,13440,15880,16440,19840,17600,15960,15960,17120,26160,14600,26840,1280,211160,,,,,,,,,,,,
44400,15080,15680,14640,18000,25640,16480,17000,33760,16520,17000,16600,19600,19720,16720,18880,21520,18960,18360,19040,25840,60400,1600,203920,,,,,,,,,,,,
15840,45120,14520,12800,15080,23320,15000,39200,16160,31960,26600,16920,15200,19400,17680,18960,28240,30920,18040,18400,19280,20840,1200,204520,,,,,,,,,,,,
19960,34080,18160,23400,16280,30240,24360,66080,32600,14760,19600,40320,20280,18400,23160,19280,20880,18920,18440,7360,18480,20880,1280,197880,,,,,,,,,,,,
46560,16480,19120,31960,17480,19160,18440,17720,34880,16520,18000,38720,20120,8600,34680,54360,18760,21200,12080,17440,35520,20960,1240,181560,,,,,,,,,,,,
17000,16080,17440,13920,19360,15480,18360,12080,17800,60640,17480,15520,17760,18680,18080,21320,20520,20640,20280,21960,7880,20760,1200,179960,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2970,,,,,,,,,,,,,,,,,,,,,,,,,,,,
