,index,z-score
0,A1,-0.2113171924846713
1,A2,-0.11922036749913001
2,A3,-0.27903134822290593
3,A4,-0.05610408653324459
4,A5,-0.049973586836778994
5,A6,-0.08466664193723246
6,A7,-0.1743948647673212
7,A8,0.030558886448611124
8,A9,-0.15461007029236373
9,A10,-0.1274408102739363
10,A11,-0.2026787610941969
11,A12,-0.07282363115996926
12,A13,-0.16993631953352792
13,A14,-0.07282363115996926
14,A15,-0.12312159457869896
15,A16,-0.18191865984934724
16,A17,-0.3403363451875628
17,A18,-0.13691521889574676
18,A19,-0.4798052132821572
19,A20,-0.11922036749913001
20,A21,-0.22608612357161137
21,A22,-0.23876511158021085
22,A23,-1.0868640127708162
23,A24,4.202224600354954
24,B1,-0.19738423862906748
25,B2,-0.13412862812462603
26,B3,-0.1730015693817607
27,B4,-0.39857609230398683
28,B5,-0.15182347952124298
29,B6,-0.21884098756669737
30,B7,-0.1279981284281604
31,B8,-0.16310917214428208
32,B9,-0.05861201822725328
33,B10,-0.11824506072923772
34,B11,0.026657659369042165
35,B12,0.010077444280873631
36,B13,-0.09344440286626288
37,B14,-0.18108268261801108
38,B15,-0.022804326818351386
39,B16,-0.2687209623697591
40,B17,-0.11517981088100493
41,B18,-0.29045637038450106
42,B19,0.0688745095515217
43,B20,-0.23374924819219348
44,B21,-0.17564883061432554
45,B22,-0.12158896965458257
46,B23,-1.0966170804697388
47,B24,2.985599069683628
48,C1,-0.3155356873245879
49,C2,-0.16854302414796765
50,C3,-0.15126616136701887
51,C4,-0.2688602919083151
52,C5,-0.13830851428130725
53,C6,-0.04941626868255468
54,C7,-0.5356763582431285
55,C8,-0.14457834351632895
56,C9,-0.2606398491335089
57,C10,-0.26955693960109534
58,C11,-0.07017636992740443
59,C12,0.009798785203761576
60,C13,-0.18763117093014475
61,C14,-0.1422097413608764
62,C15,-0.07756083547087458
63,C16,0.03097687506427931
64,C17,-0.05596475699468866
65,C18,-0.1165731062665652
66,C19,-0.11601578811234109
67,C20,-0.10765601579897885
68,C21,-0.1986382044760718
69,C22,-0.5409708807082579
70,C23,-1.0918798761588335
71,C24,4.282896403178901
72,D1,-0.15070884321279457
73,D2,-0.23528187311630985
74,D3,-0.1279981284281604
75,D4,-0.13384996904751398
76,D5,-0.11531914041956084
77,D6,-0.21758702171969302
78,D7,-0.04063850775352427
79,D8,-0.022525667741239333
80,D9,-0.08731390316979729
81,D10,-0.23806846388743072
82,D11,-0.04314643944753296
83,D12,-0.05763671145736099
84,D13,-0.9547796102196918
85,D14,-0.15683934290926035
