,index,z-score
0,A1,-0.06671397879891647
1,A2,-0.06760189591979165
2,A3,-0.0717370527970104
3,A4,-0.07285329146325349
4,A5,-0.07456993123027886
5,A6,-0.06620659758698778
6,A7,-0.06873504729309904
7,A8,-0.06295090147711209
8,A9,-0.09094988802204308
9,A10,-0.06112432911416884
10,A11,-0.07926320744061917
11,A12,-0.06622351029405207
12,A13,-0.07636267817909353
13,A14,-0.0684221622124097
14,A15,-0.07694616657281153
15,A16,-0.07223597765540693
16,A17,-0.06600364510221632
17,A18,-0.06765263404098452
18,A19,-0.07654026160326857
19,A20,-0.06740739978855234
20,A21,-0.07230362848366409
21,A22,-0.07374120858412869
22,A23,-0.12854683582595827
23,A24,0.42655357908461417
24,B1,-0.07138188594866034
25,B2,-0.07168631467581753
26,B3,-0.0741978516748645
27,B4,-0.0761850947549185
28,B5,-0.07517033233106114
29,B6,-0.07217678318068192
30,B7,-0.06845598762653828
31,B8,-0.08152105383370178
32,B9,-0.06837142409121683
33,B10,-0.07873045716809404
34,B11,-0.07445999863436098
35,B12,-0.07515341962399685
36,B13,-0.07954226710717993
37,B14,-0.06925934121209201
38,B15,-0.06994430584819573
39,B16,-0.06843061856594183
40,B17,-0.07275181522086777
41,B18,-0.06947920640392778
42,B19,-0.08432856320637382
43,B20,-0.07206685058476404
44,B21,-0.07567771354298983
45,B22,-0.0732507400792643
46,B23,-0.12704160489723654
47,B24,0.5668191151222979
48,C1,-0.06072688049815804
49,C2,-0.07381731576591799
50,C3,-0.07022336551475651
51,C4,-0.06710297106139512
52,C5,-0.07353825609935721
53,C6,-0.06788941193988458
54,C7,-0.06627424841524494
55,C8,-0.07019799645416007
56,C9,-0.06466754124413746
57,C10,-0.06526794234491973
58,C11,-0.06985128595934215
59,C12,-0.061437214194858196
60,C13,-0.0709421555649888
61,C14,-0.07149181854457821
62,C15,-0.08142803394484818
63,C16,-0.06818538431350964
64,C17,-0.07885730247107622
65,C18,-0.0896645222851571
66,C19,-0.07417248261426806
67,C20,-0.08276413780292706
68,C21,-0.0762612019367078
69,C22,-0.06916632132323842
70,C23,-0.12884280819958335
71,C24,0.3980133859136259
72,D1,-0.06925088485855987
73,D2,-0.06832068597002396
74,D3,-0.06755961415213094
75,D4,-0.06712834012199156
76,D5,-0.06954685723218493
77,D6,-0.06432928710285167
78,D7,-0.06443921969876955
79,D8,-0.07060390142370301
80,D9,-0.06305237771949783
81,D10,-0.06913249590910985
82,D11,-0.07667556325978289
83,D12,-0.07133114782746745
84,D13,-0.06843061856594183
85,D14,-0.06916632132323842
86,D15,-0.06227439319454052
87,D16,-0.1163189486184771
88,D17,-0.08321232454013072
89,D18,-0.06922551579796343
90,D19,-0.06578377991038056
91,D20,-0.062181373305686925
92,D21,-0.06137801972013319
93,D22,-0.08252735990402701
94,D23,-0.12706697395783295
95,D24,0.5905138177193672
96,E1,-0.07369892681646796
97,E2,-0.0703924925853994
98,E3,-0.07422322073546093
99,E4,-0.07194846163531401
100,E5,-0.07097598097911738
101,E6,-0.06283251252766207
102,E7,-0.06814310254584892
103,E8,-0.069200146737367
104,E9,-0.1029917354518171
105,E10,-0.07411328813954306
106,E11,-0.07449382404848956
107,E12,-0.0659613633345556
108,E13,-0.06940309922213847
109,E14,-0.07718294447171158
110,E15,-0.06747505061680949
111,E16,-0.06873504729309904
112,E17,-0.07273490251380348
113,E18,-0.07111973898916384
114,E19,-0.08206226045975903
115,E20,-0.07825690137029394
116,E21,-0.06330606832546216
117,E22,-0.07278564063499633
118,E23,-0.12862294300774757
119,E24,0.39640667874251845
120,F1,-0.07376657764472512
121,F2,-0.07457838758381101
122,F3,-0.07147490583751392
123,F4,-0.0822990383586591
124,F5,-0.06821075337410608
125,F6,-0.07381731576591799
126,F7,-0.06961450806044209
127,F8,-0.08167326819728038
128,F9,-0.07670938867391147
129,F10,-0.10460689897645672
130,F11,-0.06744122520268091
131,F12,-0.07127195335274245
132,F13,-0.06504807715308397
133,F14,-0.07113665169622813
134,F15,-0.06746659426327735
135,F16,-0.08142803394484818
136,F17,-0.06980054783814928
137,F18,-0.07201611246357117
138,F19,-0.06835451138415254
139,F20,-0.07833300855208325
140,F21,-0.07095906827205309
141,F22,-0.07995662843025501
142,F23,-0.12723610102847588
143,F24,0.5713432642619951
144,G1,-0.07205839423123189
145,G2,-0.0688957180102098
146,G3,-0.061107416407104556
147,G4,-0.07128040970627458
148,G5,-0.07391033565477158
149,G6,-0.07533945940170403
150,G7,-0.07982978312727285
151,G8,-0.07691234115868294
152,G9,-0.07539865387642905
153,G10,-0.07010497656530648
154,G11,-0.07631194005790067
155,G12,-0.07367355775587153
156,G13,-0.0738004030588537
157,G14,-0.06605438322340919
158,G15,-0.06870967823250261
159,G16,-0.07350443068522865
160,G17,-0.07153410031223893
161,G18,-0.06491277549656965
162,G19,-0.06774565392983813
163,G20,-0.07591449144188986
164,G21,-0.07121275887801744
165,G22,-0.10398958516861016
166,G23,-0.12859757394715116
167,G24,0.5169858237573692
168,H1,-0.07208376329182833
169,H2,-0.06947075005039563
170,H3,-0.06248580203284414
171,H4,-0.07884884611754407
172,H5,-0.0655639147185448
173,H6,-0.06520874787019472
174,H7,-0.0662827047687771
175,H8,-0.09471296534384747
176,H9,-0.06382190589092299
177,H10,-0.08119971239948029
178,H11,-0.0688788053031455
179,H12,-0.06216446059862264
180,H13,-0.07043477435306011
181,H14,-0.07136497324159603
182,H15,-0.06914940861617414
183,H16,-0.06864202740424545
184,H17,-0.07127195335274245
185,H18,-0.07897569142052625
186,H19,-0.07464603841206817
187,H20,-0.07908562401644412
188,H21,-0.06973289700989212
189,H22,-0.07720831353230799
190,H23,-0.12994213415876216
191,H24,0.32723370684957503
192,I1,-0.07781717098662241
193,I2,-0.06415170367867663
194,I3,-0.0753901975228969
195,I4,-0.07298013676623567
196,I5,-0.06845598762653828
197,I6,-0.0719061798676533
198,I7,-0.07243893014017841
199,I8,-0.07431624062431452
200,I9,-0.07567771354298983
201,I10,-0.06970752794929569
202,I11,-0.07073920308021733
203,I12,-0.06562310919326982
204,I13,-0.08104749803590168
205,I14,-0.06370351694147297
206,I15,-0.09631121616142281
207,I16,-0.07356362515995364
208,I17,-0.12737140268499017
209,I18,-0.07495046713922537
210,I19,-0.0713396041809996
211,I20,-0.06399103296156589
212,I21,-0.1022729454015848
213,I22,-0.07930548920827989
214,I23,-0.12856374853302258
215,I24,0.5052906868224132
216,J1,-0.07006269479764575
217,J2,-0.07385114118004657
218,J3,-0.07246429920077484
219,J4,-0.06977517877755283
