index,z-score
F6,-0.11190448396709225
F7,-0.04071571305242949
F8,-0.16826226094120023
F9,-0.03181711668809658
F10,-0.13860027306009082
F11,-0.12080308033142499
F12,-0.01401992395943093
F13,-0.07927629729787182
F14,-0.06147910456920617
F15,-0.002155128806987165
F16,-0.12080308033142499
F17,-0.15639746578875646
F18,-0.15343126700064544
F19,-0.15639746578875646
F20,-0.05851290578109514
F21,0.02750685907412242
F22,-0.12673547790764705
F23,-1.108547276772371
F24,4.058571012116902
G1,-0.22758623670341924
G2,-0.20682284518664254
G3,-0.15639746578875646
G4,-0.4352201518711856
G5,-0.29284261004186013
G6,-0.23648483306775214
G7,-0.11190448396709225
G8,-0.12376927911953602
G9,-0.10893828517898123
G10,-0.0703777009335389
G11,-0.15639746578875646
G12,-0.09410729123842661
G13,-0.13266787548386894
G14,-0.15046506821253458
G15,-0.17122845972931125
G16,-0.11190448396709225
G17,-0.25131582700830674
G18,-0.046648110628651374
G19,-0.15639746578875646
G20,-0.0703777009335389
G21,-0.11783688154331413
G22,-0.0852086948740937
G23,-1.111513475560482
G24,4.728931938229976
H1,-0.16529606215308937
H2,-0.28097781488941637
H3,-0.25131582700830674
H4,-0.18605945366986587
H5,-0.10893828517898123
H6,-0.11190448396709225
H7,-0.09707349002653747
H8,-0.13266787548386894
H9,-0.3106398027705258
H10,-0.12376927911953602
H11,-0.19495805003419878
H12,-0.11190448396709225
H13,-0.14156647184820167
H14,-0.10893828517898123
H15,-0.09114109245031558
H16,-0.1741946585174221
H17,-0.18605945366986587
H18,-0.008087526383209047
H19,-0.0703777009335389
H20,-0.01401992395943093
H21,-0.07927629729787182
H22,-0.07334389972164992
H23,-1.10558107798426
H24,4.423413463054548
I1,-0.26614682094886155
I2,-0.15639746578875646
I3,-0.16529606215308937
I4,-0.23351863427964112
I5,-0.1297016766957579
I6,-0.10003968881464849
I7,-0.15046506821253458
I8,-0.016986122747541785
I9,0.05123644937900995
I10,-0.46488213975229514
I11,-0.183093254881755
I12,-0.10300588760275935
I13,-0.09114109245031558
I14,-0.00512132759509802
I15,-0.183093254881755
I16,-0.016986122747541785
I17,-0.2631806221607507
I18,0.0097096663454566
I19,-0.08224249608598266
I20,0.0067434675573457455
I21,-0.05554670699298428
I22,-0.10597208639087037
I23,-1.1233782707129258
I24,4.850546088542525
J1,-0.16232986336497834
J2,-0.2483496282201959
J3,-0.24538342943208488
J4,-0.15639746578875646
J5,-0.14156647184820167
J6,-0.16826226094120023
J7,-0.08817489366220455
J8,-0.2186876403390863
J9,-0.06741150214542804
J10,-0.1741946585174221
J11,-0.049614309416762224
J12,-0.11487068275520311
J13,-0.09114109245031558
J14,-0.11487068275520311
J15,-0.16529606215308937
J16,-0.011053725171319903
J17,-0.06741150214542804
J18,-0.2750454173131945
J19,-0.05851290578109514
J20,-0.11487068275520311
J21,-0.05554670699298428
J22,-0.29284261004186013
J23,-1.114479674348593
J24,4.014078030295237
K1,-0.27207921852508343
K2,-0.1890256524579769
K3,-0.3640313809565229
K4,-0.16529606215308937
K5,-0.21572144155097547
K6,-0.07631009850976078
K7,-0.08224249608598266
K8,-0.06741150214542804
K9,-0.16529606215308937
K10,-0.11487068275520311
K11,-0.15343126700064544
K12,-0.09410729123842661
K13,-0.14749886942442356
K14,-0.1297016766957579
K15,-0.2038566463985317
K16,-0.12376927911953602
K17,-0.17122845972931125
K18,-0.046648110628651374
K19,-0.15343126700064544
K20,-0.05851290578109514
K21,-0.3047074051943039
K22,-0.15046506821253458
K23,-1.1026148791961492
K24,5.1204701782606215
L1,-0.2780116161013053
L2,-0.23351863427964112
L3,-0.2572482245845286
L4,-0.239451031855863
L5,-0.17122845972931125
L6,-0.2097890439747536
L7,-0.09410729123842661
L8,-0.17716085730553313
L9,-0.0852086948740937
L10,-0.18605945366986587
L11,-0.12080308033142499
L12,-0.1445326706363127
