index,z-score
A1,-0.13324862519796055
A2,-0.0302476078000872
A3,-0.095481585485407
A4,-0.026814240553491506
A5,-0.12981525795136475
A6,-0.03368097504668307
A7,-0.11608178896498161
A8,-0.07831474925242816
A9,-0.095481585485407
A10,0.041853104378423996
A11,-0.1195151562115774
A12,-0.10234831997859849
A13,-0.1435487269377478
A14,-0.06801464751264073
A15,-0.11608178896498161
A16,-0.08861485099221543
A17,-0.16758229766391827
A18,-0.15041546143093937
A19,-0.1366819924445563
A20,-0.11264842171838584
A21,-0.15728219592413092
A22,-0.09891495273200279
A23,-0.830222176256903
A24,5.068302753394639
B1,-0.07144801475923661
B2,-0.18474913389689712
B3,-0.19848260288328023
B4,-0.09891495273200279
B5,-0.095481585485407
B6,-0.23968300984242957
B7,-0.16758229766391827
B8,-0.1435487269377478
B9,-0.10921505447179004
B10,-0.1641489304173225
B11,-0.07144801475923661
B12,-0.06801464751264073
B13,-0.10234831997859849
B14,-0.07831474925242816
B15,-0.10234831997859849
B16,-0.25341647882881263
B17,-0.15041546143093937
B18,-0.1641489304173225
B19,-0.06114791301944916
B20,-0.15728219592413092
B21,-0.0542811785262576
B22,-0.19161586839008868
B23,-0.8370889107500945
B24,3.9352915620180333
C1,-0.11608178896498161
C2,-0.07144801475923661
C3,-0.17101566491051406
C4,-0.06801464751264073
C5,-0.15384882867753516
C6,-0.2637165805686
C7,-0.15384882867753516
C8,-0.1435487269377478
C9,-0.18474913389689712
C10,-0.12294852345817318
C11,-0.17444903215710986
C12,-0.1366819924445563
C13,-0.19161586839008868
C14,-0.10234831997859849
C15,-0.1435487269377478
C16,-0.14698209418434358
C17,-0.16071556317072672
C18,-0.17444903215710986
C19,-0.16071556317072672
C20,-0.09891495273200279
C21,-0.17444903215710986
C22,-0.21221607186966338
C23,-0.8405222779966902
C24,5.071736120641235
D1,-0.1881825011434929
D2,-0.20191597012987603
D3,-0.14011535969115202
D4,-0.15728219592413092
D5,-0.19161586839008868
D6,-0.24998311158221692
D7,-0.20534933737647182
D8,-0.18131576665030133
D9,-0.19161586839008868
D10,-0.3014836202811535
D11,-0.17101566491051406
D12,-0.1881825011434929
D13,-0.13324862519796055
D14,-0.15041546143093937
D15,-0.1641489304173225
D16,-0.232816275349238
D17,-0.1435487269377478
D18,-0.17788239940370554
D19,-0.14011535969115202
D20,-0.18474913389689712
D21,-0.12981525795136475
D22,-0.24654974433562113
D23,-0.8542557469830734
D24,4.268328184937824
E1,-0.16758229766391827
E2,-0.12981525795136475
E3,-0.14011535969115202
E4,-0.16758229766391827
E5,-0.1881825011434929
E6,-0.1435487269377478
E7,-0.12981525795136475
E8,-0.14698209418434358
E9,-0.18131576665030133
E10,-0.1641489304173225
E11,-0.24998311158221692
E12,-0.1435487269377478
E13,-0.1641489304173225
E14,-0.21908280636285488
E15,-0.20191597012987603
E16,-0.15728219592413092
E17,-0.18474913389689712
E18,-0.17101566491051406
E19,-0.17444903215710986
E20,-0.1641489304173225
E21,-0.2568498460754084
E22,-0.22938290810264222
E23,-0.8473890124898817
E24,5.246837850217619
F1,-0.12294852345817318
F2,-0.20191597012987603
F3,-0.17101566491051406
F4,-0.21221607186966338
F5,-0.15041546143093937
F6,-0.1881825011434929
F7,-0.14011535969115202
F8,-0.15041546143093937
F9,-0.17444903215710986
F10,-0.19848260288328023
F11,-0.095481585485407
F12,-0.12981525795136475
F13,-0.14698209418434358
F14,-0.16071556317072672
F15,-0.11608178896498161
F16,-0.19848260288328023
F17,-0.1641489304173225
F18,-0.2087827046230676
F19,-0.08174811649902387
F20,-0.19161586839008868
F21,-0.232816275349238
F22,-0.232816275349238
F23,-0.8370889107500945
F24,4.220261043485483
G1,-0.21564943911625908
G2,-0.17101566491051406
G3,-0.1641489304173225
G4,-0.23968300984242957
G5,-0.1641489304173225
G6,-0.1195151562115774
G7,-0.41821810666540987
G8,-0.09891495273200279
G9,-0.17788239940370554
G10,-0.22251617360945064
G11,-0.21908280636285488
G12,-0.1641489304173225
G13,-0.23968300984242957
G14,-0.13324862519796055
G15,-0.232816275349238
G16,-0.13324862519796055
G17,-0.21221607186966338
G18,-0.19161586839008868
G19,-0.2087827046230676
G20,-0.1881825011434929
G21,-0.23624964259583378
G22,-0.1641489304173225
G23,-0.8508223797364777
G24,5.061436018901448
H1,-0.19504923563668447
H2,-0.22938290810264222
H3,-0.22251617360945064
H4,-0.24998311158221692
H5,-0.20191597012987603
H6,-0.1641489304173225
H7,-0.19161586839008868
H8,-0.23624964259583378
H9,-0.18131576665030133
H10,-0.22594954085604643
H11,-0.26028321332200416
H12,-0.21908280636285488
H13,-0.11264842171838584
H14,-0.23968300984242957
H15,-0.1366819924445563
H16,-0.20534933737647182
H17,-0.23624964259583378
H18,-0.21221607186966338
H19,-0.22251617360945064
H20,-0.23968300984242957
H21,-0.19161586839008868
H22,-0.01308077156710837
H23,-0.8508223797364777
H24,4.687198989022509
I1,-0.18474913389689712
I2,-0.12981525795136475
I3,-0.16071556317072672
I4,-0.15728219592413092
I5,-0.232816275349238
I6,-0.13324862519796055
I7,-0.22251617360945064
I8,-0.1641489304173225
I9,-0.25341647882881263
I10,-0.12638189070476896
I11,-0.17788239940370554
I12,-0.19161586839008868
I13,-0.17444903215710986
I14,-0.29118351854136615
I15,-0.17101566491051406
I16,-0.1435487269377478
I17,-0.19161586839008868
I18,-0.14011535969115202
I19,-0.24311637708902534
I20,-0.12294852345817318
I21,-0.20191597012987603
I22,-0.1435487269377478
I23,-0.8542557469830734
I24,5.075169487887831
J1,-0.17444903215710986
J2,-0.20191597012987603
J3,-0.15384882867753516
J4,-0.17101566491051406
J5,-0.15041546143093937
J6,-0.1641489304173225
J7,-0.15728219592413092
J8,-0.18131576665030133
J9,-0.09204821823881122
J10,-0.20534933737647182
J11,-0.20534933737647182
J12,-0.23624964259583378
J13,-0.17101566491051406
J14,-0.2087827046230676
J15,-0.17101566491051406
J16,-0.22594954085604643
J17,-0.14698209418434358
J18,-0.15728219592413092
J19,-0.19161586839008868
J20,-0.17788239940370554
J21,0.6152254345599185
J22,-0.22938290810264222
J23,-0.8542557469830734
J24,4.3987961403084626
K1,-0.22938290810264222
K2,-0.1881825011434929
K3,-0.2637165805686
K4,-0.17788239940370554
K5,-0.19504923563668447
K6,-0.15041546143093937
K7,-0.21564943911625908
K8,-0.17788239940370554
K9,-0.19161586839008868
K10,-0.15728219592413092
K11,-0.2568498460754084
K12,-0.21908280636285488
K13,-0.26714994781519574
K14,-0.17101566491051406
K15,-0.2568498460754084
K16,-0.24311637708902534
K17,-0.23968300984242957
K18,-0.17788239940370554
K19,-0.23968300984242957
