Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200
M,7160,6920,7760,7600,7760,8320,8360,8400,7920,7520,7840,8120,8880,7440,7480,7960,7560,7800,7240,7720,7960,7400,30840,27320,,,,7560
N,7000,6960,7280,6840,7320,7840,7640,7880,7760,7520,8360,8080,7720,8120,7640,7880,5680,7720,7320,7160,7840,6840,31000,26160,,,,7080
O,6760,7240,7280,7200,7320,7600,7600,7720,7720,7720,7920,7600,7960,7920,7480,7680,6960,6960,7120,7440,7160,6720,27840,26120,,,,8040
P,6600,7080,7000,7560,6960,7520,7360,7960,7680,7240,7880,7440,7040,7160,7040,7440,7160,7800,6720,6880,7360,7040,29720,26880,,,,7200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7080
2,1,H2061372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:50,,,,,,,,,,,,,,,,,7440
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7200
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7120
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,8560
2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7720
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7840
A,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7360
B,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400
C,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,6920
D,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7880
E,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7080
F,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7440
G,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7680
H,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7480
I,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7760
J,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400
K,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8520
L,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8360
M,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920
N,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8200
O,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920
P,0.580144297,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7520
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7600
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7840
2,1,H2061372,14.01,17.51,17.41,43.1,42.9,17.8,17.9,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:50,,,,,,,,,,,,7280
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6720
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7640
2,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8760
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7960
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8040
A,6680,7240,7440,7880,8720,7920,7680,7640,7640,7760,7880,8480,7520,8200,8080,7720,7800,7280,7200,7560,7600,7120,26120,28560,,,,7280
B,7640,8080,8000,7920,7800,8040,9520,7720,8720,7560,8440,7920,8200,8520,7920,8640,8240,8280,8280,7800,7560,7160,22040,26760,,,,7040
C,8080,7960,7480,8400,8480,8400,8480,8640,8000,8760,8520,8680,8080,8320,8840,8440,8680,8160,7800,8160,7520,7400,22960,24200,,,,7720
D,8280,8000,8000,8680,8320,9400,9040,8280,9600,9000,8600,8280,8720,8760,8640,8760,8880,8320,8000,7800,7800,7800,22880,24320,,,,7640
E,8840,8760,9560,8840,9520,9360,10200,10320,9200,10160,10600,9680,10480,9800,9720,9720,9720,9400,11120,9520,8080,8840,25080,28760,,,,8320
F,9080,8760,9480,10120,10640,12720,9560,10560,11280,9760,9880,10000,9800,10600,9400,10280,9200,9200,9520,8480,9080,8840,24720,27400,,,,7120
G,8520,8680,8400,8360,9280,9160,9440,9000,9640,9480,9840,8960,9640,9280,9840,9720,8920,9040,8160,8400,8120,8440,26280,25040,,,,7880
H,8000,8720,9240,9400,9360,10440,9160,9800,9760,9720,10000,9960,9520,10120,9360,9480,9320,9280,9360,8480,8720,7840,23000,30560,,,,7360
I,7920,8280,8760,8960,8440,8960,9680,9120,9640,9200,9320,9720,9160,8920,9320,9080,9400,9040,8680,8680,8320,8480,24720,25080,,,,7240
J,7840,8160,8480,9200,8800,9000,9640,9120,9640,9200,8920,8400,8880,7560,9040,9320,9040,8600,8400,8400,8600,7920,24960,26720,,,,7680
K,7960,8480,8200,9120,9680,8920,9560,9000,9920,9880,9840,9760,9560,9800,8960,9520,8840,8160,8440,9080,7600,8040,25520,25040,,,,8240
L,7920,7960,8520,8200,9240,8840,9560,8680,9960,8760,9000,9200,8840,9720,9000,9000,8920,8400,8440,8360,8400,8440,27760,28160,,,,8640
M,8600,8440,8480,8840,9360,8600,9240,9320,9000,9400,9240,8840,9400,8600,8880,9000,9040,9400,8560,8160,8160,7440,28560,26960,,,,8400
N,8160,7880,7840,8920,8920,8920,8880,8200,9120,8240,9080,9520,9160,9280,8160,8960,9000,8680,8600,7480,8000,8080,24240,27480,,,,8560
O,7560,8480,8400,7960,8840,8880,8920,9400,8520,8400,8560,9040,8960,9160,8920,8520,9000,9000,7960,8160,7840,7680,26040,25360,,,,7560
P,7680,7800,7720,8000,8280,8160,8600,8560,8200,8200,8640,8360,7960,8640,8200,8000,8120,7720,8120,8120,7480,7480,26560,28440,,,,7840
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7840
3,1,H2061374,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:51,,,,,,,,,,,,,,,,,8240
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7760
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7680
3,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8000
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9320
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,8240
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8080
A,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7960
B,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7840
C,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7800
D,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7080
E,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7760
F,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7280
G,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7640
H,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7800
I,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7840
J,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7520
K,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7560
L,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7880
M,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,8440
N,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,7600
O,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,8240
P,0.533709932,0.533709932,,,,,,,,,,,,,,,,,,,,,0.533709932,0.533709932,,,,8200
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7520
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,8040
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7480
3,1,H2061374,14.01,17.43,17.52,42.9,43.1,17.92,17.92,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:51,,,,,,,,,,,,8080
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7320
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7640
3,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7400
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,8720
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8520
A,7080,7760,7280,7640,7560,7920,7960,7880,7840,7760,8200,7920,7880,8440,8160,7760,7400,7600,7600,7680,8000,8200,28360,26920,,,,8320
B,6480,7480,7400,7880,7600,7960,8160,8040,8160,8480,8120,8080,8280,8760,8120,7920,8000,7960,7720,7720,7440,8080,25120,26880,,,,8000
C,7000,8160,7120,8120,8360,8080,8520,8120,8600,8440,8240,8680,6960,8400,8880,7760,8720,8000,8320,7480,7880,8160,23320,23760,,,,7960
D,7760,8320,8280,8120,8600,8200,8920,8640,8840,8760,8720,9160,8240,9120,9160,8360,9160,8520,8720,8000,8160,7600,25960,25160,,,,7880
E,8320,8960,9360,9080,10200,9280,9880,9360,10080,8920,10000,10080,9720,9840,9640,9640,9680,9080,8920,9080,8440,9080,30440,26520,,,,8000
F,8000,9160,8840,9240,9720,9440,10040,9360,9440,9760,10080,10200,9920,10120,10120,9800,9680,9040,8880,8720,9120,8960,29800,30080,,,,7720
G,7760,8640,8600,9040,8440,8920,9920,9200,8600,10200,9400,9720,9320,10240,9360,8800,9320,8520,8920,8640,8120,8440,27360,26800,,,,7680
H,7880,8440,8040,8880,9560,8560,9600,9440,9480,9720,9360,10840,9520,9520,9800,9240,9360,9440,9200,8680,8720,8840,27600,28480,,,,7880
I,8280,7920,8120,8720,8960,9200,9280,9320,9080,8880,8440,9160,9200,8880,9240,8600,9320,8640,9000,8640,8360,7960,26880,28000,,,,8480
J,7520,8200,8280,8320,9320,8840,9880,8760,9480,9040,9080,9480,9560,8800,9240,8480,8600,8480,7680,8560,7640,7760,29840,26840,,,,7120
K,8320,8000,8000,8840,9280,8760,9240,9080,9360,9120,9080,9040,9080,9360,9480,8840,9120,8760,8800,9280,8080,8520,28600,27440,,,,7560
L,7640,8480,8440,9000,8800,8840,8760,9000,9560,8880,8440,9520,8640,8880,9320,8880,8680,9160,8680,8760,7800,8040,30600,26920,,,,6760
M,8160,8880,8360,9200,9240,8680,9480,9480,9280,8880,9720,9680,9040,9240,9640,9400,9600,9440,10920,8320,8120,8840,32080,28840,,,,8360
N,7680,7640,7800,8480,8800,8320,8640,11040,8520,8640,8440,9000,8800,9320,8800,9080,9440,8720,8280,8560,7920,7920,30360,31200,,,,8360
O,7600,8240,7920,8000,8560,8760,9400,7880,8160,10480,9000,9280,20240,9080,9200,8920,9160,8840,8640,8040,8200,8400,32760,29520,,,,7920
P,6720,7360,7560,7680,7800,8320,8760,7880,8600,8120,8040,8480,8200,8560,8240,8320,8360,8160,8080,7760,8040,8120,33720,32840,,,,8040
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7920
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7320
4,1,H2061376,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:53,,,,,,,,,,,,,,,,,7960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7720
4,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7640
Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,8120
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8440
A,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,8680
B,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7880
C,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7840
D,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7840
E,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7440
F,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,8000
G,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7440
H,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7960
I,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7360
J,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7800
K,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7960
L,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,6400
M,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7600
N,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,8280
O,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,8000
P,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,8480
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7800
Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,8040
Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7960
4,1,H2061376,14.01,17.51,17.62,43.3,43.3,17.9,17.92,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:53,,,,,,,,,,,,7960
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7040
Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,8440
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7480
4,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8040
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7680
Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7320
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7640
A,7160,7600,7240,7480,7240,7880,8240,7680,7480,7680,8600,7120,7880,8000,7720,7760,7400,7160,7360,6720,7240,7040,27640,32520,,,,7960
B,7400,7720,8200,7760,8240,8440,8160,8640,8120,8120,7920,8200,8200,7520,8000,8000,7760,7560,7560,7680,7000,6760,25320,28680,,,,8280
C,8040,7800,8600,9120,8440,8920,8920,8880,8920,2160,8640,8680,8160,8360,8680,7800,8080,8200,8320,7640,7840,7080,24400,29400,,,,7560
D,7600,8120,8360,8200,9080,8320,8160,8560,7880,9120,8720,8960,9120,8560,8120,8840,8240,8000,5440,7960,7800,7680,26840,28120,,,,7840
E,9000,8920,9440,9280,9840,10440,10960,9480,9320,10120,10200,10240,9560,10160,10040,9840,9720,8800,9600,8760,9000,8000,28360,30560,,,,7520
F,9000,9120,9240,9400,9680,9760,10760,9960,8840,10280,9920,10200,10240,10000,10400,10080,9960,9440,10120,9440,8800,8440,27960,30040,,,,8120
G,8520,8480,8840,9600,9440,9240,10360,9960,10080,9720,9560,9720,10160,16040,9720,8600,9240,9080,9040,8760,8600,8480,26320,29000,,,,7680
