Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
16,16,H,0.644544109,0.644544109,6480,7760,7560,7840,8000,7920,8040,8560,7960,8240,8000,8040,7840,7800,7840,8400,7960,7600,7520,7640,0.644544109,0.644544109,,,,8000.0
17,17,I,0.644544109,0.644544109,7080,7360,7760,7560,7840,8200,7280,7560,7840,8200,7960,8000,7840,8040,7520,7840,7680,8320,7640,7640,0.644544109,0.644544109,,,,7880.0
18,18,J,0.644544109,0.644544109,6880,6840,7440,7080,7360,7920,7040,7840,7800,7520,7880,7920,7440,7960,8120,8000,7320,7920,7520,7800,0.644544109,0.644544109,,,,7120.0
19,19,K,0.644544109,0.644544109,7520,7160,7880,8040,8400,7520,7720,7800,7080,8040,8000,7320,8000,7960,7680,7880,7560,7920,7960,7520,0.644544109,0.644544109,,,,7760.0
20,20,L,0.644544109,0.644544109,7800,7560,7400,7200,6920,8000,7640,7280,7760,7480,7720,7960,7440,7040,8040,7560,7840,9240,7760,7680,0.644544109,0.644544109,,,,7360.0
21,21,M,0.644544109,0.644544109,7160,7440,7200,7840,7880,7600,8320,7840,7280,8080,7680,7840,7960,8440,7960,8160,7440,7440,8040,7840,0.644544109,0.644544109,,,,6840.0
22,22,N,0.644544109,0.644544109,5960,7240,7520,7760,7080,7840,7120,8240,7640,7280,7880,7440,7360,7480,7880,6920,7360,7880,7360,7640,0.644544109,0.644544109,,,,7160.0
23,23,O,0.644544109,0.644544109,7280,7440,7440,7080,7440,7280,7880,7440,7800,7320,8480,7720,7800,8040,7440,7320,7600,7200,7880,7440,0.644544109,0.644544109,,,,7560.0
24,24,P,0.644544109,0.644544109,,,,,,,,,,,,,,,,,,,,,0.644544109,0.644544109,,,,7440.0
25,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7240.0
26,26,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440.0
27,27,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7040.0
28,28,1,1,H2061370,14.01,17.61,17.62,43.7,43.4,17.9,17.92,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:48,,,,,,,,,,,,7080.0
29,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7040.0
30,30,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840.0
31,31,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,10200.0
32,32,1,Jez US LUM 384 (cps),0,12,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8000.0
33,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7560.0
34,34,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7760.0
35,35,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7440.0
36,36,A,6880,6480,6920,7000,7560,7000,7360,7320,7240,7200,7000,7280,7520,7400,7240,6520,7320,6840,6920,6720,7120,6600,25720,25920,,,,7880.0
37,37,B,7120,7160,7320,7640,7360,7360,7480,8160,7760,7760,7520,7720,7520,7680,7360,7720,7200,7440,6960,7200,6640,6480,24120,24160,,,,7400.0
