Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
137,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7280.0
138,138,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7320.0
139,139,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7640.0
140,140,3,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7400.0
141,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6600.0
142,142,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,8720.0
143,143,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8520.0
144,144,A,7080,7760,7280,7640,7560,7920,7960,7880,7840,7760,8200,7920,7880,8440,8160,7760,7400,7600,7600,7680,8000,8200,28360,26920,,,,8320.0
145,145,B,6480,7480,7400,7880,7600,7960,8160,8040,8160,8480,8120,8080,8280,8760,8120,7920,8000,7960,7720,7720,7440,8080,25120,26880,,,,8000.0
146,146,C,7000,8160,7120,8120,8360,8080,8520,8120,8600,8440,8240,8680,6960,8400,8880,7760,8720,8000,8320,7480,7880,8160,23320,23760,,,,7960.0
147,147,D,7760,8320,8280,8120,8600,8200,8920,8640,8840,8760,8720,9160,8240,9120,9160,8360,9160,8520,8720,8000,8160,7600,25960,25160,,,,7880.0
148,148,E,8320,8960,9360,9080,10200,9280,9880,9360,10080,8920,10000,10080,9720,9840,9640,9640,9680,9080,8920,9080,8440,9080,30440,26520,,,,8000.0
149,149,F,8000,9160,8840,9240,9720,9440,10040,9360,9440,9760,10080,10200,9920,10120,10120,9800,9680,9040,8880,8720,9120,8960,29800,30080,,,,7720.0
150,150,G,7760,8640,8600,9040,8440,8920,9920,9200,8600,10200,9400,9720,9320,10240,9360,8800,9320,8520,8920,8640,8120,8440,27360,26800,,,,7680.0
151,151,H,7880,8440,8040,8880,9560,8560,9600,9440,9480,9720,9360,10840,9520,9520,9800,9240,9360,9440,9200,8680,8720,8840,27600,28480,,,,7880.0
152,152,I,8280,7920,8120,8720,8960,9200,9280,9320,9080,8880,8440,9160,9200,8880,9240,8600,9320,8640,9000,8640,8360,7960,26880,28000,,,,8480.0
153,153,J,7520,8200,8280,8320,9320,8840,9880,8760,9480,9040,9080,9480,9560,8800,9240,8480,8600,8480,7680,8560,7640,7760,29840,26840,,,,7120.0
154,154,K,8320,8000,8000,8840,9280,8760,9240,9080,9360,9120,9080,9040,9080,9360,9480,8840,9120,8760,8800,9280,8080,8520,28600,27440,,,,7560.0
155,155,L,7640,8480,8440,9000,8800,8840,8760,9000,9560,8880,8440,9520,8640,8880,9320,8880,8680,9160,8680,8760,7800,8040,30600,26920,,,,6760.0
156,156,M,8160,8880,8360,9200,9240,8680,9480,9480,9280,8880,9720,9680,9040,9240,9640,9400,9600,9440,10920,8320,8120,8840,32080,28840,,,,8360.0
157,157,N,7680,7640,7800,8480,8800,8320,8640,11040,8520,8640,8440,9000,8800,9320,8800,9080,9440,8720,8280,8560,7920,7920,30360,31200,,,,8360.0
158,158,O,7600,8240,7920,8000,8560,8760,9400,7880,8160,10480,9000,9280,20240,9080,9200,8920,9160,8840,8640,8040,8200,8400,32760,29520,,,,7920.0
159,159,P,6720,7360,7560,7680,7800,8320,8760,7880,8600,8120,8040,8480,8200,8560,8240,8320,8360,8160,8080,7760,8040,8120,33720,32840,,,,8040.0
160,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0
161,161,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,,,,,7920.0
162,162,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7320.0
163,163,4,1,H2061376,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:53,,,,,,,,,,,,,,,,,7960.0
164,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7840.0
165,165,Background information,,,,,,,,,,,,,,,,,,,,,,,,,,,,7440.0
166,166,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7720.0
167,167,4,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7960.0
168,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7640.0
169,169,Calculated results: Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,8120.0
170,170,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8440.0
171,171,A,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,8680.0
172,172,B,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7880.0
173,173,C,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7840.0
174,174,D,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7840.0
175,175,E,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7440.0
176,176,F,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,8000.0
177,177,G,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7440.0
178,178,H,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7960.0
179,179,I,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7360.0
180,180,J,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7800.0
181,181,K,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,7960.0
182,182,L,0.658831979,0.658831979,,,,,,,,,,,,,,,,,,,,,0.658831979,0.658831979,,,,6400.0
