Unnamed: 0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
39,39,D,7480,8200,7160,9880,9920,9960,10760,9520,10160,10000,10640,10080,10240,10440,10480,10320,10320,8840,10640,9440,9800,10440,40720,38200
40,40,E,9640,9560,11280,11240,12320,11720,12520,13040,13360,12920,11960,12720,13440,12080,13960,12560,12640,12800,12600,13680,10520,13320,55400,39120
41,41,F,9040,10000,10320,10680,11080,9640,12760,12160,12880,10280,12880,13000,12920,12760,11440,12840,13280,8800,13280,11840,12440,12200,45320,46120
42,42,G,8440,10320,10360,8600,12280,12040,10680,10800,11000,12680,11920,13000,11160,12520,8400,11440,12880,12600,10800,12280,9120,11800,47440,40520
43,43,H,8520,10160,9600,9480,10560,11560,11880,11080,10040,11880,12320,12240,7480,12680,12800,12480,12600,10240,9400,12760,9680,11800,46080,40160
44,44,I,8480,8880,10040,9560,11280,10320,11440,10880,11720,10520,11400,11800,9280,11000,12640,11600,11920,9840,12120,11920,6840,11840,42040,41280
45,45,J,8120,8560,7680,10040,9720,10720,11200,10480,11720,8160,11440,11240,10200,11080,11760,11480,6280,9560,11240,10560,11120,11400,46680,41920
46,46,K,8120,7440,9760,5600,11360,10280,6200,11960,11440,9640,12440,9880,12400,12080,12800,11520,11960,12280,11520,11840,11400,11760,48560,41720
47,47,L,8280,9400,8960,9240,9760,8600,11040,6520,8880,11000,10920,9280,11960,9560,11040,11080,11400,11120,11840,10000,11560,10840,46400,40320
48,48,M,8280,8560,10560,9120,16000,10120,11680,11080,6400,12200,8360,10280,12080,11000,12800,11280,11320,11120,10600,11760,10760,12120,42720,40600
49,49,N,8720,8520,8800,9400,9360,10360,10040,9000,11200,9880,11720,10000,9960,11440,10440,10480,7240,8160,11520,10400,12360,11880,49920,38920
50,50,O,7400,8400,8960,9120,10240,8880,9680,9800,9560,10680,8920,9840,10280,9200,11000,7520,9840,9560,9360,10040,9880,10880,49200,41120
51,51,P,6320,7040,7200,8320,7720,8560,8280,8360,8720,8400,8600,8880,8080,8840,8840,9520,8840,8840,9040,8520,8600,9360,46520,41200
52,52,,,,,,,,,,,,,,,,,,,,,,,,,
53,53,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
54,54,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
55,55,3,1,H2060214,14.01,17.62,17.72,40.4,40.3,18.02,18.11,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:36,,,,,,,,
56,56,,,,,,,,,,,,,,,,,,,,,,,,,
57,57,Background information,,,,,,,,,,,,,,,,,,,,,,,,
58,58,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
59,59,3,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
60,60,,,,,,,,,,,,,,,,,,,,,,,,,
61,61,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
62,62,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
63,63,A,7560,7920,8080,8160,8200,8400,8720,7920,8240,8280,8080,8880,8360,8480,7800,7280,7680,7480,7480,6520,7160,7440,37120,42320
64,64,B,7640,8720,7920,8200,8800,7680,8600,7800,7600,9600,8960,7560,8520,9120,9960,7400,9160,8280,8080,8680,9360,10200,44000,39440
65,65,C,8720,9080,7720,8080,9520,9920,9720,9280,8320,9960,7200,8000,9840,10600,10560,8240,10000,8920,9560,9280,7400,9640,53000,39680
66,66,D,8640,8520,9040,9920,9480,7600,10320,4400,10440,9160,9960,10480,10440,10320,11000,9440,10040,9760,10320,11080,9920,10240,43160,39160
67,67,E,10080,9680,10920,11040,11720,12120,13080,11520,11720,13200,12120,12760,7640,10120,13560,9280,8280,12440,12000,11520,11840,12800,48840,40920
68,68,F,9960,10000,10160,11240,11000,10760,12160,12960,9680,10720,12280,12560,12360,12760,11960,8880,13760,12600,13480,7520,11480,12840,51720,41440
69,69,G,9200,10480,9800,11440,10720,11360,9160,10440,12520,10040,11320,12760,12440,13840,13240,11920,10720,11720,12080,11920,11280,12720,46960,39600
70,70,H,9240,10000,10000,11120,10520,11880,11440,11440,11520,12320,10720,11880,11880,10800,12160,11400,12280,10000,11840,12200,11240,12240,54600,39360
71,71,I,9240,9600,9640,10280,10440,10160,12080,10760,12240,11600,11320,10760,11320,6320,11800,10920,12720,11280,11560,11840,11240,11720,51000,40120
72,72,J,8760,9320,9960,10000,10480,10720,11760,7320,10040,11760,11120,11520,11280,11000,11600,11360,9360,9040,10680,11320,10640,11360,49920,38840
73,73,K,9000,10280,6960,11280,10520,11320,11640,11560,12120,12120,10560,10840,10720,12920,11800,11840,12120,11280,11320,11120,10000,11920,49800,37760
74,74,L,8360,7520,7960,9360,10400,10880,10400,10560,10560,11240,11560,9320,10840,7720,11560,11000,11680,10800,7120,11560,8000,11720,40880,40840
75,75,M,8640,10680,9960,9720,9120,10240,11520,10560,11760,9960,11040,12440,10720,11200,12160,10040,11600,10280,10760,11000,10560,12400,57000,42960
76,76,N,8520,10240,8960,9400,9520,10040,9840,12720,9520,10280,9120,10880,10080,10920,10040,9920,10560,10480,9800,10240,9960,11240,48560,43440
77,77,O,8320,6840,9880,8880,10480,9080,11080,7160,10240,10600,9560,8320,9560,8040,9920,9160,9600,7280,9040,6600,8240,9960,41000,47280
78,78,P,6960,8000,7320,7800,8480,8280,8480,7760,8560,8320,8000,8880,8400,8240,8440,8160,8240,8000,7920,8000,7760,8840,47600,40800
79,79,,,,,,,,,,,,,,,,,,,,,,,,,
80,80,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
81,81,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
82,82,4,1,H2060216,14.01,17.72,17.82,40.3,40.6,18.11,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:38,,,,,,,,
83,83,,,,,,,,,,,,,,,,,,,,,,,,,
84,84,Background information,,,,,,,,,,,,,,,,,,,,,,,,
85,85,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
86,86,4,Jez US LUM 384 (cps),0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
87,87,,,,,,,,,,,,,,,,,,,,,,,,,
88,88,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
89,89,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
90,90,A,6560,6080,7240,6640,6760,7120,7520,7280,7440,6920,7480,7280,7440,7680,7760,7480,7080,7400,7800,6640,6960,7160,35960,37640
91,91,B,6880,6120,7800,6600,7760,7440,6120,7680,7480,7880,8640,7720,7800,7640,8400,5120,8040,8360,7800,8600,7400,7640,37400,34200
92,92,C,7600,7360,8080,8400,8240,7760,8600,8040,9320,7520,9280,8120,8360,8560,8480,5680,9720,7640,8720,7680,8400,8240,34480,37200
93,93,D,6840,7160,7480,7360,8120,8160,6680,8560,8520,8760,8440,8680,8360,8920,8680,7680,9200,7240,8800,8080,7920,8360,37320,37400
94,94,E,8800,9120,9480,10200,9920,11960,10360,10400,10320,9560,9520,11280,10680,7560,11600,10960,18720,9920,12120,10560,11000,11720,39640,43640
95,95,F,7920,9480,9440,9440,13120,8960,11000,10080,9920,11160,11080,11600,11400,10920,12520,10920,10560,10560,10600,11640,10000,11280,42880,40840
96,96,G,8720,9160,8720,9920,7040,10280,10720,9920,9960,9800,6960,8720,10760,11160,8680,9040,11200,9880,10840,9680,9720,10000,38280,42200
97,97,H,8160,7920,8960,7040,10080,9400,10360,10240,10960,7280,9880,10680,11400,9120,10760,9840,11040,10280,8880,11640,9040,10960,37200,38720
98,98,I,7680,7360,29520,9760,9120,10120,10000,10360,11200,10200,10880,10760,7080,11360,10600,10800,9960,10520,10480,10280,10680,10520,40120,42600
99,99,J,7040,8200,8680,9520,13960,9840,8320,7520,7840,10560,9680,10760,10000,10480,10240,10000,9920,7720,9120,10000,5000,10280,39720,37800
100,100,K,8640,9200,8400,9760,9240,10480,10400,8440,9560,7160,10520,9760,9600,10880,9960,11800,10280,10760,11200,8280,9280,10240,41480,41520
101,101,L,7560,8560,9040,9040,9320,9720,9560,11280,9840,10240,9880,10520,8840,6400,9720,9960,9720,9960,9840,11200,10120,9880,38640,40600
102,102,M,8560,7040,6560,9840,4520,10000,9560,9920,10480,10200,10720,10960,10560,11440,10760,10680,10880,9160,10640,4880,9240,10800,40760,42680
103,103,N,7560,4960,5720,8400,9080,7760,7320,9600,12800,10480,10400,9960,9800,10880,10600,9400,7200,9680,9640,11000,9720,10400,41680,43040
104,104,O,7880,6080,8240,9880,9600,9320,8840,8120,9720,9040,9200,9800,9080,10520,10360,9360,10240,8320,9640,9400,9440,9320,39720,49320
105,105,P,6360,6480,7400,7360,8120,7160,8200,8160,8120,8840,7720,8480,8480,8040,9040,8400,7760,8480,7840,8440,8120,7880,43960,44000
106,106,,,,,,,,,,,,,,,,,,,,,,,,,
107,107,Plate information ,,,,,,,,,,,,,,,,,,,,,,,,
108,108,Plate,Repeat,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,
109,109,5,1,H2060218,14.01,17.82,17.72,40.6,40.7,18.02,18.02,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,4/12/23 18:39,,,,,,,,
110,110,,,,,,,,,,,,,,,,,,,,,,,,,
111,111,Background information,,,,,,,,,,,,,,,,,,,,,,,,
112,112,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,
113,113,5,Jez US LUM 384 (cps),0,4,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,
114,114,,,,,,,,,,,,,,,,,,,,,,,,,
115,115,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,
116,116,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
117,117,A,6080,6280,6680,7080,7200,7400,7200,7520,7320,7880,8400,7720,7520,7640,10520,7680,7440,7680,7040,7000,7880,7000,36240,37000
118,118,B,6880,6400,6880,7320,7360,7640,7280,8080,7440,7560,7800,7680,7800,11080,1369040,11080,7280,7840,6760,7160,7560,7840,36800,35720
119,119,C,7400,7560,7000,7480,8640,7520,8080,8480,8920,8200,9280,8080,9760,7880,10880,9600,7760,8680,8600,8000,8760,8400,37440,35960
120,120,D,7360,6920,8040,7800,8080,9080,8440,8920,8240,8040,8720,8840,8320,8160,8800,9000,7600,8040,8960,5280,6200,8280,37680,36320
121,121,E,8680,8840,7320,10320,10040,8720,10320,10600,11160,9960,12040,10920,10720,10600,9000,10480,9280,10760,11080,9840,10880,9960,36040,39200
