,index,z-score
0,A1,-0.17032818140345668
1,A2,-0.14573301924670876
2,A3,-0.14680237412308908
3,A4,-0.19385398868382425
4,A5,-0.2195185057169525
5,A6,-0.03238140235039232
6,A7,-0.23769753861541834
7,A8,-0.13717818023566603
8,A9,-0.25801528126664486
9,A10,-0.3061362507037604
10,A11,-0.1874378594255422
11,A12,-0.3039975409509997
12,A13,-0.23448947398627729
13,A14,-0.23235076423351664
14,A15,-0.2687088300304483
15,A16,-0.2665701202776876
16,A17,0.08417827917506521
17,A18,-0.3072056055801407
18,A19,-0.4216265773528375
19,A20,-0.10402817906787534
20,A21,-0.37243625303934164
21,A22,-0.3211072189730852
22,A23,-0.5745443246752266
23,A24,5.6245058937016275
24,B1,-0.23662818373903802
25,B2,-0.1778136655381191
26,B3,0.1280218291066593
27,B4,-0.41627980297093575
28,B5,-0.06767011327094367
29,B6,0.7471783025308784
30,B7,-0.25801528126664486
31,B8,-0.4034475444543717
32,B9,-0.2537378617611235
33,B10,0.3033960288330357
34,B11,-0.26229270077216627
35,B12,-0.022757208462969164
36,B13,0.30981215809131774
37,B14,-0.23342011910989696
38,B15,-0.2419749581209397
39,B16,-0.2270039898516149
40,B17,-0.267639475154068
41,B18,-0.2933039921871962
42,B19,-0.2954427019399569
43,B20,-0.26229270077216627
44,B21,0.06813795602936007
45,B22,-0.1489410838758498
46,B23,-0.5777523893043678
47,B24,4.42148165777374
48,C1,-0.21417173133505074
49,C2,0.029641180479667642
50,C3,0.5910524905793482
51,C4,-0.2270039898516149
52,C5,-0.21417173133505074
53,C6,0.4637992602900873
54,C7,-0.22379592522247385
55,C8,-0.20668624720038836
56,C9,-0.18209108504364044
57,C10,-0.2900959275580552
58,C11,-0.2761943141651107
59,C12,-0.2098943118295294
60,C13,-0.2922346373108159
61,C14,-0.26443141052492697
62,C15,-0.171397536279837
63,C16,-0.2195185057169525
64,C17,-0.2494604422556021
65,C18,-0.18102173016726011
66,C19,-0.23021205448075593
67,C20,-0.3093443153329014
68,C21,-0.3157604445911834
69,C22,-0.2794023787942517
70,C23,-0.5798910990571284
71,C24,5.01069619465931
72,D1,-0.2526685068847431
73,D2,-0.22593463497523456
74,D3,-0.25480721663750383
75,D4,-0.23128140935713626
76,D5,-0.2879572178052945
77,D6,-0.2098943118295294
78,D7,-0.2515991520083628
79,D8,-0.2098943118295294
80,D9,-0.1254152765954822
81,D10,-0.28902657268167486
82,D11,-0.2655007654013073
83,D12,-0.2687088300304483
84,D13,-0.22379592522247385
85,D14,-0.24090560324455937
86,D15,-0.12969269610100365
87,D16,-0.27405560441235005
88,D17,-0.2526685068847431
89,D18,-0.301858831198239
90,D19,-0.2687088300304483
91,D20,-0.22593463497523456
92,D21,-0.30827496045652103
93,D22,-0.30827496045652103
94,D23,-0.5745443246752266
95,D24,4.274980039709634
96,E1,-0.2462523776264611
97,E2,0.2681073179124843
98,E3,-0.2173797959641918
99,E4,0.0948718279388686
100,E5,-0.23342011910989696
101,E6,-0.2195185057169525
102,E7,-0.2761943141651107
103,E8,-0.2879572178052945
104,E9,0.232818606991933
105,E10,-0.3563959298936365
106,E11,-0.23769753861541834
107,E12,-0.24518302275008072
108,E13,-0.2462523776264611
109,E14,-0.21631044108781144
110,E15,-0.2761943141651107
111,E16,0.2103621545879458
112,E17,-0.2537378617611235
113,E18,-0.23769753861541834
114,E19,-0.09654269493321295
115,E20,-0.2900959275580552
116,E21,-0.23769753861541834
117,E22,-0.2462523776264611
118,E23,-0.5798910990571284
