,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plate,information
Plate,Repeat,Barcode,Measured,height,Chamber,temperature,at,start,Chamber,temperature,at,end,Humidity,at,start,Humidity,at,end,Ambient,temperature,at,start,Ambient,temperature,at,end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement,date,
1,1,"""=""""""""""",14.46,21.39,21.41,49.4,49.1,21.77,22.38,1,Pingping,US,LUM,384,(cps)(1),0,0,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),0,7/26/2023,3,54,00,PM,,,,,,,
Background,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Pingping,US,LUM,384,(cps),0,8,0.1,00,00,00.000,De=USLum,Ex=N/A,Em=N/A,Wdw=N/A,(12),,,,,,,,,,,,,,,,,,,
10160,11360,10000,9480,9880,10760,9840,9840,10560,10640,9280,9680,8680,10520,8800,11880,6160,8920,8640,9280,9120,6440,1160,89720,,,,,,,,,,,,
11640,10360,10480,11120,11080,11040,11200,11160,11920,11000,11920,10480,11120,10200,11760,10760,10800,9200,10880,9840,11040,8480,1000,64080,,,,,,,,,,,,
10320,9600,9800,10040,9800,10840,10560,10880,9600,11080,9760,9400,10200,10760,9920,10120,9320,9720,9920,9760,8040,9600,1120,87520,,,,,,,,,,,,
10280,10240,10520,9960,10640,10080,10360,9880,10800,10000,10920,10120,11000,10760,10800,9680,10840,9960,10840,9840,10400,9440,1240,70120,,,,,,,,,,,,
9600,10000,9320,10040,10600,10920,10040,10720,10560,10800,11800,12320,10640,11760,11040,12040,10280,10680,9280,10280,9840,9960,1040,90320,,,,,,,,,,,,
11120,10160,10320,10320,11160,11040,11080,10360,11160,10360,12200,10600,11640,10440,11720,10480,11240,10880,10600,10560,10000,9880,1120,74200,,,,,,,,,,,,
9640,10040,9680,10040,10320,10560,10640,11040,10920,11120,10080,11120,10480,10480,11760,12640,18680,11720,10680,11000,9880,10200,920,87840,,,,,,,,,,,,
10440,10400,9680,9960,10920,9960,11080,10600,9680,9960,10800,10440,10960,11320,11920,10600,12160,9120,10760,10160,11160,10200,920,71920,,,,,,,,,,,,
10080,10560,10440,10640,10120,11200,11600,10760,10200,11160,10640,11560,11400,12200,12160,11360,12480,12080,11880,12360,10640,11160,960,83280,,,,,,,,,,,,
10960,10280,10760,9200,10760,8320,10240,10720,10120,9840,10160,9280,9840,10120,10440,10480,11520,10440,11080,10800,11760,9680,1040,69320,,,,,,,,,,,,
9840,10280,10320,9840,10040,10400,11240,11480,10640,10600,8920,10160,10680,13000,10800,11280,11640,11200,11800,13080,10760,11720,720,85000,,,,,,,,,,,,
10200,10160,8840,10080,10000,8040,9320,9640,10480,9240,8120,9080,9200,8840,9840,9520,10800,10040,10160,10680,11560,9800,1040,72000,,,,,,,,,,,,
9040,9320,9040,10760,10120,10400,9920,10840,10400,11800,10480,10520,9960,11600,10440,11520,11520,10400,11240,11280,10840,11160,800,84400,,,,,,,,,,,,
10080,9160,9560,9080,9600,9400,9760,9680,10480,9360,9520,8920,9360,8920,9920,8280,9240,8080,8880,8720,9680,9200,960,67480,,,,,,,,,,,,
8520,9520,10080,9320,9080,9720,10040,10600,9480,11000,9720,10840,8160,10760,11400,11200,10160,11000,10440,11280,11240,7920,680,85480,,,,,,,,,,,,
8240,9080,8920,8760,8960,8360,8920,8560,9240,8480,8560,8520,8320,8400,8040,7640,7640,7560,8240,8440,7520,8760,800,73440,,,,,,,,,,,,
Basic,assay,information,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,ID,,,,,,2771,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assay,Started,,,,,,7/26/2023,3,52,28,PM,,,,,,,,,,,,,,,,,,,,,,,,
