,index,z-score
0,A1,-0.19188806648938295
1,A2,-0.1572831238790033
2,A3,-0.20051728881970662
3,A4,-0.08472721367301639
4,A5,-0.24155012153328667
5,A6,0.18462779763780165
6,A7,-0.041845261888652764
7,A8,-0.18995089412951435
8,A9,-0.23151204657760396
9,A10,-0.7398436844649371
10,A11,-0.2043035802503589
11,A12,-0.11519365169640404
12,A13,-0.18255441784637977
13,A14,-0.10718080238967495
14,A15,-0.17489378169599037
15,A16,-0.10647637607699544
16,A17,-0.18713318887879649
17,A18,-0.18519601651892786
18,A19,-0.1717238632889327
19,A20,-0.1620380014895898
20,A21,-0.1034825642481076
21,A22,-0.1291941246609088
22,A23,-0.7899460059542655
23,A24,5.514581439238037
24,B1,-0.09749494059033205
25,B2,-0.1524401929793318
26,B3,-0.13579812134227903
27,B4,-0.12250207469045371
28,B5,-0.2536134221379228
29,B6,-0.11369674578196018
30,B7,-0.2439275603385799
31,B8,-0.2531731556924981
32,B9,-0.4648532626526833
33,B10,-0.19030310728585417
34,B11,-0.13192377662254184
35,B12,-0.32088613499881363
36,B13,-0.17286855604703685
37,B14,-0.10656442936608036
38,B15,-0.172692449468867
39,B16,-0.15833976334802255
40,B17,-0.15420125876103055
41,B18,-0.1885420415041554
42,B19,-0.30556486269803473
43,B20,-0.25017934386361035
44,B21,-0.15657869756632378
45,B22,-0.10973434777313805
46,B23,-0.8008646138007974
47,B24,4.225393233745495
48,C1,-0.12954633781724859
49,C2,-0.1765667941886042
50,C3,-0.15023886075220844
51,C4,-0.10920602803862849
52,C5,-0.14222601144547933
53,C6,-0.19479382502918585
54,C7,-0.16115746859874042
55,C8,-0.12848969834822938
56,C9,-0.24542446625302378
57,C10,-0.14539592985253702
58,C11,-0.21442970849512646
59,C12,-0.07970817619517502
60,C13,-0.16864199817095993
61,C14,-0.10920602803862849
62,C15,-0.11528170498548897
63,C16,-0.10304229780268297
64,C17,-0.05109085724257094
65,C18,-0.16291853438043916
66,C19,-0.15288045942475653
67,C20,-0.09370864915967977
68,C21,-0.21821599992577873
69,C22,-0.16300658766952408
70,C23,-0.8084371966621019
71,C24,3.538137312437573
72,D1,-0.19840400988166818
73,D2,-0.21865626637120336
74,D3,-0.0693178880831526
75,D4,-0.12778527203554985
76,D5,-0.10709274910059002
77,D6,-0.1085896550150339
78,D7,-0.11448922538372462
79,D8,-0.1153697582745739
80,D9,-0.13641449436587352
81,D10,-0.12496756678483188
82,D11,-0.06694044927785936
83,D12,-0.1320998832007117
84,D13,-0.07011036768491705
85,D14,-0.12822553848097448
86,D15,-0.12126932864326463
87,D16,-0.0957338748086333
88,D17,-0.2986086528603249
89,D18,-0.5318618156463192
90,D19,-0.3871902616797701
91,D20,-0.15807560348076766
92,D21,-0.33796847308129113
93,D22,-0.1866048691442868
94,D23,-0.7844867020309995
95,D24,6.006623218644657
96,E1,-0.20967483088453998
97,E2,-0.04052446255237866
98,E3,-0.15869197650436226
99,E4,-0.08648827945471503
100,E5,-0.20870624470460566
101,E6,-0.3689632308391884
102,E7,-0.09546971494137851
103,E8,-0.213637228893362
104,E9,-0.14257822460181904
105,E10,0.014949109571130667
106,E11,-0.16010082912972118
107,E12,-0.20624075261022742
108,E13,-0.1866048691442868
109,E14,-0.08217366828955319
110,E15,-0.10198565833366374
111,E16,-0.16256632122409945
112,E17,-0.35170478617854106
113,E18,-0.09291616955791533
114,E19,-0.03348019942558387
115,E20,-0.37741634659134227
116,E21,-0.20280667433591495
117,E22,-0.14169769171096966
118,E23,-0.8119593282254993
119,E24,3.392056905845665
120,F1,-0.0689656749268129
121,F2,-0.25845635303759423
122,F3,-0.2523806760907337
123,F4,-0.1108790405312422
124,F5,-0.11545781156365892
125,F6,-0.10841354843686404
126,F7,-0.04932979146087229
127,F8,-0.11484143854006433
128,F9,-0.11167152013300664
129,F10,-0.07750684396805164
130,F11,-0.09626219454314296
131,F12,-0.20474384669578355
132,F13,-0.3591012624616757
133,F14,-0.3357671408541677
134,F15,-0.09564582151954837
135,F16,-0.15534595151913472
136,F17,-0.07794711041347628
137,F18,-0.24401561362766483
138,F19,-0.06394663744897153
139,F20,-0.3493273473732477
140,F21,-0.09001041101811252
141,F22,-0.11818746352529187
142,F23,-0.7925876046268134
143,F24,5.347808509711169
144,G1,-0.14513176998528213
145,G2,-0.17533404814141512
146,G3,-0.12021268917424541
147,G4,-0.1353578548968543
148,G5,-0.14037689237469567
149,G6,-0.1714597034216779
150,G7,-0.12197375495594415
151,G8,-0.09494139520686885
152,G9,-0.8187394314850394
153,G10,-0.1388799864602517
154,G11,-0.12822553848097448
155,G12,-0.007240319278273026
156,G13,-0.1552578982300498
157,G14,-0.04607181976472968
158,G15,-0.16864199817095993
159,G16,-0.15992472255155132
160,G17,-0.10947018790588327
161,G18,-0.7896818460870105
162,G19,-0.22534831634165844
163,G20,-0.10788522870235438
164,G21,-0.2735134654711182
165,G22,-0.12038879575241526
166,G23,-0.8106385288892253
167,G24,3.919055841019004
168,H1,-0.11836357010346173
169,H2,-0.12364676744855786
170,H3,-0.5984301021945306
171,H4,-0.08481526696210132
172,H5,-0.8362620360129416
173,H6,-0.16837783830370515
174,H7,-0.09590998138680315
175,H8,-0.15279240613567152
176,H9,-0.13359678911515566
177,H10,-0.16873005146004486
178,H11,-0.0889537715490933
179,H12,-0.25475811489602695
180,H13,-0.1674973054128558
181,H14,-0.09934405966111562
182,H15,-0.35170478617854106
183,H16,-0.12584809967568125
184,H17,0.007728739866166022
185,H18,-0.13060297728626782
186,H19,-0.11845162339254665
187,H20,-0.1301627108408431
188,H21,-0.21733546703492937
189,H22,-0.36878712426101856
190,H23,-0.80412258549694
191,H24,4.791399775983461
192,I1,-0.10929408132771341
193,I2,-0.143987077227178
194,I3,-0.20773765852467138
195,I4,0.10854975586841722
196,I5,-0.18845398821507048
197,I6,-0.07653825778811735
198,I7,-0.5797628049085242
199,I8,-0.09062678404170701
200,I9,-0.04052446255237866
201,I10,-0.16758535870194072
202,I11,-0.1527043528465866
203,I12,-0.12294234113587844
204,I13,-0.12109322206509478
205,I14,-0.11801135694712202
206,I15,-0.16230216135684458
207,I16,0.001300849762965726
208,I17,-0.12091711548692492
209,I18,-0.07204754004478564
210,I19,-0.15199992653390718
211,I20,-0.09450112876144422
212,I21,-0.1025139780681733
213,I22,-0.09837547348118142
214,I23,-0.7979588552609945
215,I24,5.723884107392929
216,J1,-0.15226408640116196
217,J2,-0.19382523884925157
218,J3,-0.14363486407083828
219,J4,-0.13914414632750657
220,J5,-0.10524363002980636
221,J6,-0.11237594644568617
222,J7,-0.1433707042035835
223,J8,-0.02062441921918328
224,J9,-0.029077534971337103
225,J10,-0.13412510884966522
226,J11,0.05457308965935167
227,J12,-0.048008992124598186
228,J13,-0.03717843756715112
229,J14,-0.28716172527928324
230,J15,-0.19224027964572266
231,J16,-0.4846652526967938
232,J17,-0.0834944676258273
233,J18,-0.09458918205052914
234,J19,-0.04017224939603895
235,J20,-0.12241402140136878
236,J21,-0.08569579985295069
237,J22,-0.16644066594383655
238,J23,-0.7965500026356356
239,J24,5.807358625445447
240,K1,-0.2187443196602883
241,K2,-0.2020141947341506
242,K3,-0.17251634289069714
243,K4,-0.1121117865784313
244,K5,-0.08930598470543301
245,K6,-0.12320650100313323
246,K7,-0.19180001320029802
247,K8,-0.07063868741942671
248,K9,-0.4751554974756207
249,K10,-0.8077327703494224
250,K11,-0.1775353803685385
251,K12,-0.05109085724257094
252,K13,-0.6764453163237834
253,K14,-0.11889188983797139
254,K15,-0.26981522732955093
255,K16,-0.19708321054539416
256,K17,-0.2840798601613105
257,K18,-0.2589846727721039
