index,z-score
A1,-0.07140904965666581
A2,-0.06805088725777295
A3,-0.06565219982999233
A4,-0.06685154354388263
A5,-0.0752469495411148
A6,-0.07284826211333417
A7,-0.07284826211333417
A8,-0.07068944342833162
A9,-0.07260839337055612
A10,-0.07236852462777806
A11,-0.07692603074056123
A12,-0.07188878714222192
A13,-0.07644629325500511
A14,-0.07500708079833673
A15,-0.07476721205555867
A16,-0.07188878714222192
A17,-0.07044957468555356
A18,-0.07500708079833673
A19,-0.07644629325500511
A20,-0.07500708079833673
A21,-0.07716589948333928
A22,-0.07692603074056123
A23,-0.11074752347226792
A24,0.39609513001777624
B1,-0.06445285611610202
B2,-0.07140904965666581
B3,-0.0690103622288852
B4,-0.0632535124022117
B5,-0.06781101851499488
B6,-0.06949009971444131
B7,-0.06469272485888009
B8,-0.06925023097166326
B9,-0.06349338114498979
B10,-0.06949009971444131
B11,-0.06685154354388263
B12,-0.06829075600055101
B13,-0.06829075600055101
B14,-0.07092931217110968
B15,-0.07044957468555356
B16,-0.06949009971444131
B17,-0.06949009971444131
B18,-0.07188878714222192
B19,-0.06493259360165815
B20,-0.07116918091388776
B21,-0.06996983719999744
B22,-0.08244301182445665
B23,-0.11266647341449242
B24,0.3318103069532557
C1,-0.07164891839944387
C2,-0.06205416868832141
C3,-0.06853062474332908
C4,-0.06541233108721427
C5,-0.07692603074056123
C6,-0.07404760582722449
C7,-0.07428747457000255
C8,-0.07596655576944897
C9,-0.07236852462777806
C10,-0.06925023097166326
C11,-0.07428747457000255
C12,-0.0733279995988903
C13,-0.07356786834166837
C14,-0.07068944342833162
C15,-0.0745273433127806
C16,-0.07260839337055612
C17,-0.07500708079833673
C18,-0.07140904965666581
C19,-0.07236852462777806
C20,-0.0752469495411148
C21,-0.08052406188223216
C22,-0.0752469495411148
C23,-0.11026778598671179
C24,0.515549763921251
D1,-0.06805088725777295
D2,-0.07092931217110968
D3,-0.06589206857277038
D4,-0.07116918091388776
D5,-0.06757114977221683
D6,-0.06949009971444131
D7,-0.06589206857277038
D8,-0.06757114977221683
D9,-0.06613193731554845
D10,-0.06781101851499488
D11,-0.06757114977221683
D12,-0.06421298737332395
D13,-0.06757114977221683
D14,-0.07068944342833162
D15,-0.06733128102943876
D16,-0.07140904965666581
D17,-0.06996983719999744
D18,-0.07044957468555356
D19,-0.07116918091388776
D20,-0.07356786834166837
D21,-0.07572668702667092
D22,-0.08508156799501532
D23,-0.11122726095782404
D24,0.31046198884600823
E1,-0.07236852462777806
E2,-0.06972996845721938
E3,-0.07140904965666581
E4,-0.06661167480110458
E5,-0.07092931217110968
E6,-0.06829075600055101
E7,-0.05941561251776273
E8,-0.06685154354388263
E9,-0.06781101851499488
E10,-0.06925023097166326
E11,-0.07044957468555356
E12,-0.06109469371720916
E13,-0.06637180605832652
E14,-0.06637180605832652
E15,-0.07236852462777806
E16,-0.06853062474332908
E17,-0.07140904965666581
E18,-0.06949009971444131
E19,-0.072128655885
E20,-0.072128655885
E21,-0.07404760582722449
E22,-0.07620642451222705
E23,-0.11170699844338015
E24,0.5464928317396208
F1,-0.06781101851499488
F2,-0.07164891839944387
F3,-0.06829075600055101
F4,-0.07188878714222192
F5,-0.0632535124022117
F6,-0.0690103622288852
F7,-0.06613193731554845
F8,-0.06661167480110458
F9,-0.06445285611610202
F10,-0.06781101851499488
F11,-0.06421298737332395
F12,-0.06685154354388263
F13,-0.06541233108721427
F14,-0.06781101851499488
F15,-0.06637180605832652
F16,-0.06805088725777295
F17,-0.06877049348610713
F18,-0.06805088725777295
F19,-0.07188878714222192
F20,-0.07428747457000255
F21,-0.07044957468555356
F22,-0.07740576822611735
F23,-0.11050765472948985
F24,0.29007314570987297
G1,-0.06949009971444131
G2,-0.06972996845721938
G3,-0.072128655885
G4,-0.06637180605832652
G5,-0.0670914122866607
G6,-0.06541233108721427
G7,-0.06637180605832652
G8,-0.06301364365943365
G9,-0.06541233108721427
G10,-0.06685154354388263
G11,-0.06421298737332395
G12,-0.06637180605832652
G13,-0.0733279995988903
G14,-0.06781101851499488
G15,-0.072128655885
G16,-0.06996983719999744
G17,-0.06853062474332908
G18,-0.06757114977221683
G19,-0.07668616199778316
G20,-0.072128655885
G21,-0.07788550571167346
G22,-0.07548681828389285
G23,-0.11266647341449242
G24,0.5340196571151617
H1,-0.07044957468555356
H2,-0.072128655885
H3,-0.06853062474332908
H4,-0.06853062474332908
H5,-0.06277377491665559
H6,-0.062294037431099465
H7,-0.06877049348610713
H8,-0.06661167480110458
H9,-0.062294037431099465
H10,-0.06829075600055101
H11,-0.06805088725777295
H12,-0.06277377491665559
H13,-0.06421298737332395
H14,-0.07140904965666581
H15,-0.07260839337055612
H16,-0.07116918091388776
H17,-0.06661167480110458
H18,-0.07284826211333417
H19,-0.07140904965666581
H20,-0.07668616199778316
H21,-0.0752469495411148
H22,-0.07788550571167346
H23,-0.11098739221504599
H24,0.2975090767359929
I1,-0.07476721205555867
I2,-0.06589206857277038
I3,-0.07092931217110968
I4,-0.06661167480110458
I5,-0.06781101851499488
I6,-0.06757114977221683
I7,-0.07020970594277551
I8,-0.0651724623444362
I9,-0.06805088725777295
I10,-0.06373324988776784
I11,-0.06421298737332395
I12,-0.05749666257553823
I13,-0.07044957468555356
I14,-0.06301364365943365
I15,-0.06661167480110458
I16,-0.0651724623444362
I17,-0.06829075600055101
I18,-0.06781101851499488
I19,-0.07164891839944387
I20,-0.0651724623444362
I21,-0.06685154354388263
I22,-0.06661167480110458
I23,-0.11194686718615822
I24,0.5085935703806871
J1,-0.07740576822611735
J2,-0.0745273433127806
J3,-0.07404760582722449
J4,-0.06565219982999233
J5,-0.06781101851499488
J6,-0.06805088725777295
J7,-0.06637180605832652
J8,-0.06661167480110458
J9,-0.0639731186305459
J10,-0.06972996845721938
J11,-0.06925023097166326
J12,-0.07356786834166837
J13,-0.0639731186305459
J14,-0.06853062474332908
J15,-0.07020970594277551
J16,-0.07020970594277551
J17,-0.06949009971444131
J18,-0.07140904965666581
J19,-0.06781101851499488
J20,-0.0733279995988903
J21,-0.07188878714222192
J22,-0.07548681828389285
J23,-0.11194686718615822
J24,0.36539193094218436
K1,-0.07308813085611224
K2,-0.07140904965666581
K3,-0.0733279995988903
K4,-0.06853062474332908
K5,-0.06661167480110458
K6,-0.06757114977221683
K7,-0.06805088725777295
K8,-0.06589206857277038
K9,-0.06996983719999744
K10,-0.06781101851499488
K11,-0.06589206857277038
K12,-0.06733128102943876
K13,-0.06877049348610713
K14,-0.06733128102943876
K15,-0.06805088725777295
