index,z-score
A1,-0.19101215900391122
A2,-0.11900993159888332
A3,-0.10820959748812918
A4,-0.08660892926662075
A5,-0.11540982022863196
A6,-0.014606701861592934
A7,-0.13341037707988887
A8,-0.08660892926662075
A9,-0.1622112680419
A10,-0.14781082256089445
A11,-0.1262101543393861
A12,-0.12261004296913475
A13,-0.15861115667164866
A14,-0.13341037707988887
A15,-0.1622112680419
A16,-0.14061059982039165
A17,-0.22701327270642513
A18,-0.15501104530139723
A19,-0.11180970885838053
A20,-0.11540982022863196
A21,-0.15501104530139723
A22,-0.1370104884501403
A23,-0.7166284190606145
A24,4.849143759348038
B1,-0.13341037707988887
B2,-0.1622112680419
B3,-0.17661171352290556
B4,-0.18021182489315699
B5,-0.1010093747476264
B6,-0.1262101543393861
B7,-0.11180970885838053
B8,-0.15501104530139723
B9,-0.15501104530139723
B10,-0.2234131613361737
B11,-0.1262101543393861
B12,-0.1730116021526542
B13,-0.1622112680419
B14,-0.15141093393114588
B15,-0.18021182489315699
B16,-0.21261282722541955
B17,-0.18381193626340833
B18,-0.21261282722541955
B19,-0.198212381744414
B20,-0.19461227037416257
B21,-0.15501104530139723
B22,-0.2162129385956709
B23,-0.7346289759118715
B24,4.003117587338962
C1,-0.1622112680419
C2,-0.14061059982039165
C3,-0.16941149078240278
C4,-0.10460948611787775
C5,-0.11540982022863196
C6,-0.08300881789636941
C7,-0.10820959748812918
C8,-0.14061059982039165
C9,-0.20181249311466534
C10,-0.15861115667164866
C11,-0.20541260448491677
C12,-0.28101494326019594
C13,-0.21261282722541955
C14,-0.16941149078240278
C15,-0.1730116021526542
C16,-0.11540982022863196
C17,-0.20181249311466534
C18,-0.198212381744414
C19,-0.16941149078240278
C20,-0.17661171352290556
C21,-0.20541260448491677
C22,-0.20181249311466534
C23,-0.7274287531713687
C24,4.953546989085329
D1,-0.09740926337737496
D2,-0.16941149078240278
D3,-0.15501104530139723
D4,-0.20901271585516812
D5,-0.14061059982039165
D6,-0.13341037707988887
D7,-0.12261004296913475
D8,-0.19461227037416257
D9,-0.14421071119064308
D10,-0.18021182489315699
D11,-0.16581137941215143
D12,-0.20541260448491677
D13,-0.15141093393114588
D14,-0.18381193626340833
D15,-0.1730116021526542
D16,-0.18021182489315699
D17,-0.16581137941215143
D18,-0.18381193626340833
D19,-0.1622112680419
D20,-0.19461227037416257
D21,-0.19461227037416257
D22,-0.24861394092793346
D23,-0.6698269712473464
D24,4.204723824073039
E1,-0.15501104530139723
E2,-0.14061059982039165
E3,-0.1010093747476264
E4,-0.11180970885838053
E5,-0.12981026570963752
E6,-0.12261004296913475
E7,-0.16581137941215143
E8,-0.13341037707988887
E9,-0.20541260448491677
E10,-0.11900993159888332
E11,-0.1730116021526542
E12,-0.15141093393114588
E13,-0.18381193626340833
E14,-0.10820959748812918
E15,-0.21981304996592235
E16,-0.1622112680419
E17,-0.18381193626340833
E18,-0.18381193626340833
E19,-0.16941149078240278
E20,-0.19461227037416257
E21,-0.25221405229818483
E22,-0.22701327270642513
E23,-0.7274287531713687
E24,5.0831509984143795
F1,-0.12261004296913475
F2,-0.23061338407667648
F3,-0.15861115667164866
F4,-0.16581137941215143
F5,-0.13341037707988887
F6,-0.16941149078240278
F7,-0.1262101543393861
F8,-0.20901271585516812
F9,-0.19101215900391122
F10,-0.20541260448491677
F11,0.0033938549896640638
F12,-0.19101215900391122
F13,-0.17661171352290556
F14,-0.2234131613361737
F15,-0.20181249311466534
F16,-0.18021182489315699
F17,-0.20181249311466534
F18,-0.24501382955768203
F19,-0.20181249311466534
F20,-0.24141371818743068
F21,-0.2162129385956709
F22,-0.24501382955768203
F23,-0.749029421392877
F24,4.25872549462681
G1,-0.17661171352290556
G2,-0.13341037707988887
G3,-0.18021182489315699
G4,-0.12981026570963752
G5,-0.12981026570963752
G6,0.4102064398280714
G7,-0.14781082256089445
G8,-0.19101215900391122
G9,-0.15141093393114588
G10,-0.17661171352290556
G11,-0.198212381744414
G12,-0.15141093393114588
G13,-0.19461227037416257
G14,-0.14421071119064308
G15,-0.21261282722541955
G16,-0.2162129385956709
G17,-0.23061338407667648
G18,-0.20181249311466534
G19,-0.20901271585516812
G20,-0.18021182489315699
G21,-0.20901271585516812
G22,-0.1622112680419
G23,-0.7166284190606145
G24,5.209154896373178
H1,-0.14421071119064308
H2,-0.20901271585516812
H3,-0.16941149078240278
H4,-0.18021182489315699
H5,-0.20901271585516812
H6,-0.1370104884501403
H7,-0.15861115667164866
H8,-0.21981304996592235
H9,-0.18381193626340833
H10,-0.25581416366843623
H11,-0.17661171352290556
H12,-0.20901271585516812
H13,-0.14421071119064308
H14,-0.19461227037416257
H15,-0.19461227037416257
H16,-0.24141371818743068
H17,-0.20541260448491677
H18,-0.23061338407667648
H19,-0.18381193626340833
H20,-0.21261282722541955
H21,-0.20181249311466534
H22,-0.2774148318899446
H23,-0.73102886454162
H24,4.715939638648737
I1,-0.1622112680419
I2,-0.13341037707988887
I3,-0.15501104530139723
I4,-0.10460948611787775
I5,-0.47902106862402255
I6,-0.08300881789636941
I7,-0.1730116021526542
I8,-0.07940870652611796
I9,-0.18381193626340833
I10,-0.14421071119064308
I11,-0.1730116021526542
I12,-0.14781082256089445
I13,-0.15501104530139723
I14,-0.11540982022863196
I15,-0.15861115667164866
I16,-0.16581137941215143
I17,-0.25221405229818483
I18,-0.2162129385956709
I19,-0.198212381744414
I20,-0.22701327270642513
I21,-0.2234131613361737
I22,-0.18381193626340833
I23,-0.73102886454162
I24,5.3423590170724795
J1,-0.1622112680419
J2,-0.18021182489315699
J3,-0.17661171352290556
J4,-0.26301438640893904
J5,-0.14421071119064308
J6,0.32020365557178665
J7,-0.07220848378561519
J8,-0.20901271585516812
J9,-0.18021182489315699
J10,-0.20181249311466534
J11,-0.18381193626340833
J12,-0.1874120476336598
J13,-0.19101215900391122
J14,-0.20901271585516812
J15,-0.16941149078240278
J16,-0.20541260448491677
J17,-0.19461227037416257
J18,-0.24501382955768203
J19,-0.16581137941215143
J20,-0.21261282722541955
J21,-0.20901271585516812
J22,-0.2342134954469279
J23,-0.7418291986523742
J24,4.56833507246843
K1,-0.15141093393114588
K2,-0.15861115667164866
K3,-0.20901271585516812
K4,-0.13341037707988887
K5,-0.14781082256089445
