index,z-score
F14,-0.16709747501964295
F15,-0.13947019070546227
F16,-0.15009606928783942
F17,-0.1415953664219377
F18,-0.1649722993031675
F19,-0.11609325782423247
F20,-0.1649722993031675
F21,-0.14372054213841315
F22,-0.16284712358669207
F23,-0.468872426759155
F24,2.3321091675554713
G1,-0.1415953664219377
G2,-0.13521983927251136
G3,-0.12034360925718333
G4,-0.1543464207207903
G5,-0.10546737924185524
G6,-0.10334220352537982
G7,-0.12671913640660962
G8,-0.1649722993031675
G9,-0.1415953664219377
G10,-0.1330946635560359
G11,-0.15009606928783942
G12,-0.13734501498898685
G13,-0.1330946635560359
G14,-0.11609325782423247
G15,-0.13521983927251136
G16,-0.12459396069013419
G17,-0.14584571785488856
G18,-0.09484150065947809
G19,-0.1330946635560359
G20,-0.12459396069013419
G21,-0.1585967721537412
G22,-0.12246878497365876
G23,-0.4624968996097288
G24,2.8527772180919535
H1,-0.15009606928783942
H2,-0.13521983927251136
H3,-0.13947019070546227
H4,-0.13521983927251136
H5,-0.10759255495833069
H6,-0.1543464207207903
H7,-0.14584571785488856
H8,-0.12459396069013419
H9,-0.1585967721537412
H10,-0.14584571785488856
H11,-0.12671913640660962
H12,-0.13734501498898685
H13,-0.12884431212308506
H14,-0.1543464207207903
H15,-0.14584571785488856
H16,-0.1713478264525938
H17,-0.12459396069013419
H18,-0.181973705034971
H19,-0.12459396069013419
H20,-0.1543464207207903
H21,-0.13947019070546227
H22,-0.19047440790087275
H23,-0.4624968996097288
H24,2.257728017478831
I1,-0.15647159643726571
I2,-0.09059114922652717
I3,-0.13947019070546227
I4,-0.10546737924185524
I5,-0.12671913640660962
I6,-0.14372054213841315
I7,-0.16284712358669207
I8,-0.1309694878395605
I9,-0.14372054213841315
I10,-0.1330946635560359
I11,-0.16072194787021665
I12,-0.11821843354070789
I13,-0.147970893571364
I14,-0.13521983927251136
I15,-0.12246878497365876
I16,-0.12884431212308506
I17,-0.12034360925718333
I18,-0.1330946635560359
I19,-0.13734501498898685
I20,-0.13947019070546227
I21,-0.13947019070546227
I22,-0.12671913640660962
I23,-0.468872426759155
I24,2.61688271356318
J1,-0.11396808210775698
J2,-0.1415953664219377
J3,-0.10546737924185524
J4,-0.1649722993031675
J5,-0.12884431212308506
J6,-0.09484150065947809
J7,-0.13947019070546227
J8,-0.1415953664219377
