,Plate information ,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,7200
31,Plate,Label,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,10200.0
32,1,Jez US LUM 384 (cps),0,12,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8000.0
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7560.0
34,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7760.0
35,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7440.0
36,A,0.17056396148555708,0.15680880330123798,0.171939477303989,0.1746905089408528,0.1939477303988996,0.1746905089408528,0.18707015130674004,0.1856946354883081,0.1829436038514443,0.1815680880330124,0.1746905089408528,0.1843191196698762,0.19257221458046767,0.18844566712517194,0.1829436038514443,0.15818431911966988,0.1856946354883081,0.16918844566712518,0.171939477303989,0.16506189821182943,0.17881705639614856,0.1609353507565337,0.8184319119669876,0.8253094910591472,,,,7880.0
37,B,0.17881705639614856,0.18019257221458046,0.1856946354883081,0.19669876203576342,0.18707015130674004,0.18707015130674004,0.19119669876203577,0.21458046767537828,0.20082530949105915,0.20082530949105915,0.19257221458046767,0.19944979367262725,0.19257221458046767,0.19807427785419532,0.18707015130674004,0.19944979367262725,0.1815680880330124,0.18982118294360384,0.1733149931224209,0.1815680880330124,0.1623108665749656,0.15680880330123798,0.7634112792297112,0.7647867950481431,,,,7400.0
38,C,0.16506189821182943,0.1746905089408528,0.19807427785419532,0.17606602475928473,0.1829436038514443,0.17606602475928473,0.20495185694635487,0.20082530949105915,0.1856946354883081,0.1829436038514443,0.21182943603851445,0.20082530949105915,0.20907840440165062,0.20082530949105915,0.20357634112792297,0.5378266850068776,0.19944979367262725,0.20220082530949107,0.1829436038514443,0.18982118294360384,0.1843191196698762,0.16643741403026135,0.7427785419532325,0.7909215955983494,,,,7200.0
39,D,0.1939477303988996,0.18982118294360384,0.18707015130674004,0.18982118294360384,0.18707015130674004,0.20357634112792297,0.1829436038514443,0.19944979367262725,0.20907840440165062,0.19944979367262725,0.1953232462173315,0.20220082530949107,0.19669876203576342,0.18844566712517194,0.19807427785419532,0.2077028885832187,0.18019257221458046,0.18844566712517194,0.17744154057771663,0.16918844566712518,0.0,0.17744154057771663,0.8486932599724897,0.811554332874828,,,,7520.0
40,E,0.18844566712517194,0.1953232462173315,0.2200825309491059,0.21182943603851445,0.20907840440165062,0.2310866574965612,0.22696011004126548,0.2324621733149931,0.2297111416781293,0.2173314993122421,0.25722145804676755,0.2393397524071527,0.24896836313617607,0.23383768913342504,0.2200825309491059,0.22696011004126548,0.218707015130674,0.22833562585969738,0.20082530949105915,0.2063273727647868,0.2173314993122421,0.19944979367262725,0.9092159559834938,0.9037138927097662,,,,7440.0
