,index,z-score
176,H9,-0.056979027146252026
177,H10,-0.05595618695728125
178,H11,-0.05660708525935356
179,H12,-0.05753693997659973
180,H13,-0.056514099787628946
181,H14,-0.057257983561425876
182,H15,-0.05521230318348432
183,H16,-0.05642111431590433
184,H17,-0.0556772305421074
185,H18,-0.0567930562028028
186,H19,-0.0556772305421074
187,H20,-0.0567930562028028
188,H21,-0.05642111431590433
189,H22,-0.05818783827867203
190,H23,-0.07353044111323367
191,H24,0.04735067212876716
192,I1,-0.05716499808970126
193,I2,-0.05539827412693355
194,I3,-0.05670007073107818
195,I4,-0.05688604167452741
196,I5,-0.05604917242900587
197,I6,-0.055026332240035086
198,I7,-0.05642111431590433
199,I8,-0.05660708525935356
200,I9,-0.05604917242900587
201,I10,-0.05707201261797665
202,I11,-0.05595618695728125
203,I12,-0.05558424507038279
204,I13,-0.056979027146252026
205,I14,-0.05707201261797665
206,I15,-0.05604917242900587
207,I16,-0.05604917242900587
208,I17,-0.05521230318348432
209,I18,-0.05530528865520894
210,I19,-0.05604917242900587
211,I20,-0.05688604167452741
212,I21,-0.05790888186349819
213,I22,-0.05595618695728125
214,I23,-0.07380939752840752
215,I24,0.06948121439922579
216,J1,-0.05790888186349819
217,J2,-0.0567930562028028
218,J3,-0.05493334676831047
219,J4,-0.05604917242900587
220,J5,-0.0556772305421074
221,J6,-0.057257983561425876
222,J7,-0.056235143372455096
223,J8,-0.05716499808970126
224,J9,-0.05632812884417972
225,J10,-0.056514099787628946
226,J11,-0.0556772305421074
227,J12,-0.057257983561425876
228,J13,-0.055770216013832016
229,J14,-0.05632812884417972
230,J15,-0.05632812884417972
231,J16,-0.05586320148555663
232,J17,-0.0556772305421074
233,J18,-0.058373809222121265
234,J19,-0.054096477522788934
235,J20,-0.057629925448324335
236,J21,-0.05716499808970126
237,J22,-0.057257983561425876
238,J23,-0.07334447016978445
239,J24,0.04669977382669486
240,K1,-0.0567930562028028
241,K2,-0.05456140488141201
242,K3,-0.05595618695728125
243,K4,-0.055491259598658166
244,K5,-0.05670007073107818
245,K6,-0.05484036129658586
246,K7,-0.0567930562028028
247,K8,-0.056235143372455096
248,K9,-0.05558424507038279
249,K10,-0.05735096903315049
250,K11,-0.05642111431590433
251,K12,-0.055491259598658166
252,K13,-0.05670007073107818
253,K14,-0.05493334676831047
254,K15,-0.057629925448324335
255,K16,-0.05530528865520894
256,K17,-0.05632812884417972
257,K18,-0.0556772305421074
258,K19,-0.05586320148555663
259,K20,-0.05604917242900587
260,K21,-0.05558424507038279
261,K22,-0.05595618695728125
262,K23,-0.07269357186771214
263,K24,0.06631970836058883
264,L1,-0.05539827412693355
265,L2,-0.0574439545048751
266,L3,-0.05530528865520894
267,L4,-0.05688604167452741
268,L5,-0.05586320148555663
269,L6,-0.056514099787628946
270,L7,-0.05493334676831047
271,L8,-0.057629925448324335
272,L9,-0.05428244846623816
273,L10,-0.056979027146252026
274,L11,-0.05632812884417972
275,L12,-0.05614215790073048
276,L13,-0.05632812884417972
277,L14,-0.057815896391773564
278,L15,-0.05670007073107818
279,L16,-0.05688604167452741
280,L17,-0.055491259598658166
281,L18,-0.0567930562028028
282,L19,-0.05632812884417972
283,L20,-0.05660708525935356
284,L21,-0.056235143372455096
285,L22,-0.057257983561425876
286,L23,-0.07287954281116137
287,L24,0.05637026288605493
288,M1,-0.05595618695728125
289,M2,-0.05642111431590433
290,M3,-0.05707201261797665
291,M4,-0.0567930562028028
292,M5,-0.05493334676831047
293,M6,-0.055770216013832016
294,M7,-0.05558424507038279
295,M8,-0.055770216013832016
296,M9,-0.057257983561425876
297,M10,-0.0567930562028028
298,M11,-0.05735096903315049
299,M12,-0.05735096903315049
300,M13,-0.056979027146252026
301,M14,-0.05642111431590433
302,M15,-0.057257983561425876
303,M16,-0.05614215790073048
304,M17,-0.05660708525935356
305,M18,-0.0556772305421074
306,M19,-0.05604917242900587
307,M20,-0.05521230318348432
308,M21,-0.056979027146252026
309,M22,-0.05530528865520894
310,M23,-0.07353044111323367
311,M24,0.06232133307643035
312,N1,-0.05716499808970126
313,N2,-0.0574439545048751
314,N3,-0.056235143372455096
315,N4,-0.05735096903315049
316,N5,-0.05530528865520894
317,N6,-0.05493334676831047
318,N7,-0.057257983561425876
319,N8,-0.0574439545048751
320,N9,-0.05586320148555663
321,N10,-0.0574439545048751
322,N11,-0.057257983561425876
323,N12,-0.057257983561425876
324,N13,-0.05493334676831047
325,N14,-0.05735096903315049
326,N15,-0.05465439035313662
327,N16,-0.05660708525935356
328,N17,-0.05670007073107818
329,N18,-0.05642111431590433
330,N19,-0.05632812884417972
331,N20,-0.05688604167452741
332,N21,-0.05539827412693355
333,N22,-0.05614215790073048
334,N23,-0.07371641205668292
335,N24,0.049024410619810256
336,O1,-0.05707201261797665
337,O2,-0.05558424507038279
338,O3,-0.05707201261797665
339,O4,-0.05595618695728125
340,O5,-0.05688604167452741
341,O6,-0.058466794693845886
342,O7,-0.05753693997659973
343,O8,-0.05604917242900587
344,O9,-0.05716499808970126
345,O10,-0.05660708525935356
346,O11,-0.05604917242900587
347,O12,-0.05604917242900587
348,O13,-0.056979027146252026
349,O14,-0.05660708525935356
350,O15,-0.05632812884417972
351,O16,-0.05595618695728125
352,O17,-0.05660708525935356
353,O18,-0.05735096903315049
354,O19,-0.05753693997659973
355,O20,-0.0551193177117597
356,O21,-0.057629925448324335
357,O22,-0.05521230318348432
358,O23,-0.07315849922633522
359,O24,0.07645512477857197
360,P1,-0.05670007073107818
361,P2,-0.05688604167452741
362,P3,-0.05586320148555663
363,P4,-0.05707201261797665
364,P5,-0.05707201261797665
365,P6,-0.05735096903315049
366,P7,-0.05530528865520894
367,P8,-0.058466794693845886
368,P9,-0.05586320148555663
369,P10,-0.057722910920048956
370,P11,-0.055491259598658166
371,P12,-0.05790888186349819
372,P13,-0.056235143372455096
373,P14,-0.057722910920048956
374,P15,-0.05642111431590433
375,P16,-0.057722910920048956
376,P17,-0.05521230318348432
377,P18,-0.05642111431590433
378,P19,-0.05642111431590433
379,P20,-0.05716499808970126
380,P21,-0.05530528865520894
381,P22,-0.05688604167452741
382,P23,-0.07353044111323367
383,P24,0.06148446383090881
