,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
34,Results for Jez US LUM 384 (cps)(1) - channel 0 (CPS),,,,,,,,,,,,,,,,,,,,,,,,,,,,7760
35,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7440
36,A,-0.24160056249423384,-0.3103399578946,-0.2347266229541971,-0.22097874387412392,-0.12474359031361108,-0.22097874387412392,-0.15911328801379418,-0.1659872275538309,-0.1797351066339041,-0.1866090461739407,-0.22097874387412392,-0.1728611670938675,-0.1316175298536477,-0.15223934847375759,-0.1797351066339041,-0.30346601835456344,-0.1659872275538309,-0.24847450203427043,-0.2347266229541971,-0.2690963206543803,-0.20035692525401402,-0.28971813927449025,2.996024960863019,3.0303946585632024,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.06975207399331794
37,B,-0.20035692525401402,-0.19348298571397743,-0.1659872275538309,-0.11099571123353777,-0.15911328801379418,-0.15911328801379418,-0.13849146939368426,-0.021634497213061515,-0.090373892613428,-0.090373892613428,-0.1316175298536477,-0.09724783215346458,-0.1316175298536477,-0.10412177169350118,-0.15911328801379418,-0.09724783215346458,-0.1866090461739407,-0.145365408933721,-0.2278526834141605,-0.1866090461739407,-0.2828441997344535,-0.3103399578946,2.721067379261554,2.7279413188015904,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.15223934847375759
38,C,-0.2690963206543803,-0.22097874387412392,-0.10412177169350118,-0.21410480433408718,-0.1797351066339041,-0.21410480433408718,-0.06975207399331794,-0.090373892613428,-0.1659872275538309,-0.1797351066339041,-0.03538237629313499,-0.090373892613428,-0.04913025537320817,-0.090373892613428,-0.07662601353335452,1.5937412946955463,-0.09724783215346458,-0.0834999530733914,-0.1797351066339041,-0.145365408933721,-0.1728611670938675,-0.2622223811143436,2.6179582861610045,2.8585461700622865,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.1866090461739407
39,D,-0.12474359031361108,-0.145365408933721,-0.15911328801379418,-0.145365408933721,-0.15911328801379418,-0.07662601353335452,-0.1797351066339041,-0.09724783215346458,-0.04913025537320817,-0.09724783215346458,-0.1178696507735745,-0.0834999530733914,-0.11099571123353777,-0.15223934847375759,-0.10412177169350118,-0.05600419491324476,-0.19348298571397743,-0.15223934847375759,-0.2072308647940506,-0.24847450203427043,-1.093969065458776,-0.2072308647940506,3.147251630743825,2.9616552631628363,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.1316175298536477
40,E,-0.15223934847375759,-0.1178696507735745,0.00586126094708484,-0.03538237629313499,-0.04913025537320817,0.060852777267377846,0.040230958647268084,0.06772671680741474,0.05397883772734126,-0.007886618132988337,0.19145762852807394,0.10209641450759768,0.1502139912878541,0.07460065634745132,0.00586126094708484,0.040230958647268084,-0.0010126785929517488,0.04710489818730467,-0.090373892613428,-0.06287813445328135,-0.007886618132988337,-0.09724783215346458,3.4497049705054366,3.4222092123452903,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.145365408933721
41,F,-0.028508436753098106,-0.090373892613428,-0.09724783215346458,0.012735200487121429,-0.03538237629313499,0.06772671680741474,0.10897035404763426,0.1433400517478175,0.06772671680741474,0.019609140027158314,0.16396187036792728,0.10897035404763426,0.21895338668822056,0.019609140027158314,0.06772671680741474,0.17083580990796415,-0.007886618132988337,0.04710489818730467,0.019609140027158314,-0.1316175298536477,0.00586126094708484,-0.03538237629313499,3.600931640386243,3.243486784304338,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.2347266229541971
42,G,-0.0834999530733914,-0.12474359031361108,-0.07662601353335452,-0.07662601353335452,-0.1178696507735745,-0.042256315833171576,-0.07662601353335452,0.1983315680681105,0.012735200487121429,0.05397883772734126,0.06772671680741474,-0.021634497213061515,-0.1316175298536477,-0.042256315833171576,-0.06287813445328135,-0.04913025537320817,-0.05600419491324476,-0.007886618132988337,-0.15223934847375759,-0.07662601353335452,-0.10412177169350118,-0.22097874387412392,3.607805579926279,3.1816213284440082,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.2690963206543803
43,H,-0.11099571123353777,-0.15223934847375759,-0.028508436753098106,-0.021634497213061515,-0.028508436753098106,0.09522247496756109,-0.03538237629313499,0.08147459588748791,0.03335701910723149,0.012735200487121429,0.11584429358767115,0.019609140027158314,0.08147459588748791,0.07460065634745132,-0.145365408933721,-0.0010126785929517488,-0.145365408933721,-0.042256315833171576,0.07460065634745132,-0.15223934847375759,-0.1178696507735745,-0.15223934847375759,3.298478300624631,2.8241764723621032,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,-0.15223934847375759
44,I,-0.3309617765147099,-0.2690963206543803,-0.15911328801379418,-0.1728611670938675,-0.13849146939368426,-0.090373892613428,-0.07662601353335452,0.05397883772734126,0.0883485354275245,-0.007886618132988337,-0.05600419491324476,-0.05600419491324476,0.09522247496756109,-0.007886618132988337,0.09522247496756109,-0.05600419491324476,-0.06287813445328135,-0.20035692525401402,-0.090373892613428,-0.06287813445328135,-0.15223934847375759,-0.1797351066339041,3.2022431470641184,3.3328479983248145,-1.4239181633805342,-1.4239181633805342,-1.4239181633805342,0.08147459588748791
