,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
39,7440,7360,7440,7360,7840,7240,7720,8000,7720,7600,7800,7640,7400,7680,7960,7160,7400,7080,6840,1920,7080,26600,25520,,,,7520.0
40,7600,8320,8080,8000,8640,8520,8680,8600,8240,9400,8880,9160,8720,8320,8520,8280,8560,7760,7920,8240,7720,28360,28200,,,,7440.0
41,7760,7720,8360,8080,8680,8920,9120,8680,8400,9240,8920,9560,8400,8680,9280,8240,8560,8400,7520,8320,8080,29240,27160,,,,6920.0
42,7560,7840,7840,7600,8040,7840,9440,8360,8600,8680,8160,7520,8040,7920,8000,7960,8240,7400,7840,7680,7000,29280,26800,,,,6720.0
43,7400,8120,8160,8120,8840,8080,8760,8480,8360,8960,8400,8760,8720,7440,8280,7440,8040,8720,7400,7600,7400,27480,24720,,,,7400.0
44,6720,7360,7280,7480,7760,7840,8600,8800,8240,7960,7960,8840,8240,8840,7960,7920,7120,7760,7920,7400,7240,26920,27680,,,,8760.0
45,7400,7120,7080,7920,7600,7920,7920,8640,8120,7960,8400,8160,7520,7640,8080,8080,7680,7480,7600,7720,6640,28320,27680,,,,7880.0
46,7360,7520,7480,8080,8800,8440,8800,8680,8560,8680,8120,8520,8040,8080,8400,7600,7760,7600,7760,7960,7680,28400,24200,,,,7800.0
47,7440,7200,7800,8000,8120,7440,8080,7840,7640,8320,7640,8160,7880,8280,8160,8080,8280,7640,7000,7280,6920,30040,26920,,,,7840.0
48,6920,7760,7600,7760,8320,8360,8400,7920,7520,7840,8120,8880,7440,7480,7960,7560,7800,7240,7720,7960,7400,30840,27320,,,,7560.0
49,6960,7280,6840,7320,7840,7640,7880,7760,7520,8360,8080,7720,8120,7640,7880,5680,7720,7320,7160,7840,6840,31000,26160,,,,7080.0
50,7240,7280,7200,7320,7600,7600,7720,7720,7720,7920,7600,7960,7920,7480,7680,6960,6960,7120,7440,7160,6720,27840,26120,,,,8040.0
51,7080,7000,7560,6960,7520,7360,7960,7680,7240,7880,7440,7040,7160,7040,7440,7160,7800,6720,6880,7360,7040,29720,26880,,,,7200.0
52,,,,,,,,,,,,,,,,,,,,,,,,,,,7840.0
53,,,,,,,,,,,,,,,,,,,,,,,,,,,7760.0
54,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7080.0
55,H2061372,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:50,,,,,,,,,,,,,,,,,7440.0
56,,,,,,,,,,,,,,,,,,,,,,,,,,,7200.0
57,,,,,,,,,,,,,,,,,,,,,,,,,,,7120.0
58,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,8560.0
59,0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,7720.0
60,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
61,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0
62,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,7840.0
63,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7360.0
64,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400.0
65,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,6920.0
66,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7880.0
67,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7080.0
68,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7440.0
69,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7680.0
70,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7480.0
71,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7760.0
72,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8400.0
73,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8520.0
74,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8360.0
75,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920.0
76,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,8200.0
77,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7920.0
78,0.580144297,,,,,,,,,,,,,,,,,,,,,0.580144297,0.580144297,,,,7520.0
79,,,,,,,,,,,,,,,,,,,,,,,,,,,8000.0
80,,,,,,,,,,,,,,,,,,,,,,,,,,,7600.0
81,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Group,Label,ScanX,ScanY,Measinfo,Kinetics,Measurement date,,,,,,,,,,,,7840.0
82,H2061372,14.01,17.51,17.41,43.1,42.9,17.8,17.9,1,Jez US LUM 384 (cps)(1),0,0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),0,3/30/23 17:50,,,,,,,,,,,,7280.0
83,,,,,,,,,,,,,,,,,,,,,,,,,,,6720.0
84,,,,,,,,,,,,,,,,,,,,,,,,,,,7280.0
85,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7640.0
86,0,8,0.1,00:00.0,De=USLum Ex=N/A Em=N/A Wdw=N/A (12),,,,,,,,,,,,,,,,,,,,,,8760.0
87,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
88,,,,,,,,,,,,,,,,,,,,,,,,,,,7960.0
89,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,,,,8040.0
90,7240,7440,7880,8720,7920,7680,7640,7640,7760,7880,8480,7520,8200,8080,7720,7800,7280,7200,7560,7600,7120,26120,28560,,,,7280.0
91,8080,8000,7920,7800,8040,9520,7720,8720,7560,8440,7920,8200,8520,7920,8640,8240,8280,8280,7800,7560,7160,22040,26760,,,,7040.0
92,7960,7480,8400,8480,8400,8480,8640,8000,8760,8520,8680,8080,8320,8840,8440,8680,8160,7800,8160,7520,7400,22960,24200,,,,7720.0
93,8000,8000,8680,8320,9400,9040,8280,9600,9000,8600,8280,8720,8760,8640,8760,8880,8320,8000,7800,7800,7800,22880,24320,,,,7640.0
94,8760,9560,8840,9520,9360,10200,10320,9200,10160,10600,9680,10480,9800,9720,9720,9720,9400,11120,9520,8080,8840,25080,28760,,,,8320.0
95,8760,9480,10120,10640,12720,9560,10560,11280,9760,9880,10000,9800,10600,9400,10280,9200,9200,9520,8480,9080,8840,24720,27400,,,,7120.0
96,8680,8400,8360,9280,9160,9440,9000,9640,9480,9840,8960,9640,9280,9840,9720,8920,9040,8160,8400,8120,8440,26280,25040,,,,7880.0
97,8720,9240,9400,9360,10440,9160,9800,9760,9720,10000,9960,9520,10120,9360,9480,9320,9280,9360,8480,8720,7840,23000,30560,,,,7360.0
98,8280,8760,8960,8440,8960,9680,9120,9640,9200,9320,9720,9160,8920,9320,9080,9400,9040,8680,8680,8320,8480,24720,25080,,,,7240.0
99,8160,8480,9200,8800,9000,9640,9120,9640,9200,8920,8400,8880,7560,9040,9320,9040,8600,8400,8400,8600,7920,24960,26720,,,,7680.0
100,8480,8200,9120,9680,8920,9560,9000,9920,9880,9840,9760,9560,9800,8960,9520,8840,8160,8440,9080,7600,8040,25520,25040,,,,8240.0
101,7960,8520,8200,9240,8840,9560,8680,9960,8760,9000,9200,8840,9720,9000,9000,8920,8400,8440,8360,8400,8440,27760,28160,,,,8640.0
102,8440,8480,8840,9360,8600,9240,9320,9000,9400,9240,8840,9400,8600,8880,9000,9040,9400,8560,8160,8160,7440,28560,26960,,,,8400.0
103,7880,7840,8920,8920,8920,8880,8200,9120,8240,9080,9520,9160,9280,8160,8960,9000,8680,8600,7480,8000,8080,24240,27480,,,,8560.0
104,8480,8400,7960,8840,8880,8920,9400,8520,8400,8560,9040,8960,9160,8920,8520,9000,9000,7960,8160,7840,7680,26040,25360,,,,7560.0
105,7800,7720,8000,8280,8160,8600,8560,8200,8200,8640,8360,7960,8640,8200,8000,8120,7720,8120,8120,7480,7480,26560,28440,,,,7840.0
106,,,,,,,,,,,,,,,,,,,,,,,,,,,7800.0
107,,,,,,,,,,,,,,,,,,,,,,,,,,,7280.0
108,Barcode,Measured height,Chamber temperature at start,Chamber temperature at end,Humidity at start,Humidity at end,Ambient temperature at start,Ambient temperature at end,Formula,Measurement date,,,,,,,,,,,,,,,,,7840.0
109,H2061374,,,,,,,,Calc 1: Z' = 1 - ((3 * SD(High) + 3 * SD(Low)) / Abs(Avg(High) - Avg(Low))) where Label: Jez US LUM 384 (cps)(1) channel 1  High = Z_High  Low = Z_Low,3/30/23 17:51,,,,,,,,,,,,,,,,,8240.0
110,,,,,,,,,,,,,,,,,,,,,,,,,,,7440.0
111,,,,,,,,,,,,,,,,,,,,,,,,,,,7760.0
112,Result,Signal,Flashes/Time,Meastime,MeasInfo,,,,,,,,,,,,,,,,,,,,,,7680.0
